Blink,time,,,,
Blinked,0,,,Time,Blink
Blinked,21.15051,,,0,0
Blinked,21.35521,,,10,0
Blinked,21.40453,,,20,8
Blinked,23.41463,,,30,4
Blinked,23.93369,,,40,2
Blinked,28.93517,,,50,4
Blinked,29.27386,,,60,2
Blinked,29.63259,,,70,3
Blinked,31.00033,,,80,5
Blinked,32.54173,,,90,3
Blinked,32.89983,,,100,7
Blinked,39.33859,,,110,1
Blinked,44.66668,,,120,4
Blinked,45.73127,,,130,3
Blinked,51.81536,,,140,3
Blinked,52.8542,,,150,3
Blinked,54.60917,,,160,1
Blinked,56.27318,,,170,3
Blinked,66.13312,,,180,6
Blinked,66.74526,,,190,2
Blinked,73.93696,,,200,2
Blinked,75.36557,,,210,5
Blinked,79.7807,,,220,4
Blinked,83.77717,,,230,2
Blinked,84.66232,,,240,2
Blinked,87.16875,,,250,5
Blinked,87.87295,,,260,3
Blinked,89.90671,,,270,3
Blinked,90.81869,,,280,2
Blinked,96.06918,,,290,6
Blinked,97.92918,,,300,3
Blinked,102.5911,,,310,4
Blinked,103.3884,,,320,2
Blinked,103.8084,,,330,2
Blinked,105.465,,,340,4
Blinked,106.4206,,,350,2
Blinked,107.6398,,,360,
Blinked,108.8466,,,,
Blinked,111.762,,,,
Blinked,121.2582,,,,
Blinked,122.202,,,,
Blinked,125.0746,,,,
Blinked,127.08,,,,
Blinked,131.5152,,,,
Blinked,141.4717,,,,
Blinked,144.9739,,,,
Blinked,147.3483,,,,
Blinked,152.3839,,,,
Blinked,153.4822,,,,
Blinked,156.7121,,,,
Blinked,162.6679,,,,
Blinked,172.2628,,,,
Blinked,172.9792,,,,
Blinked,176.5172,,,,
Blinked,180.1043,,,,
Blinked,182.3135,,,,
Blinked,183.7498,,,,
Blinked,185.2956,,,,
Blinked,185.7733,,,,
Blinked,187.8685,,,,
Blinked,191.0722,,,,
Blinked,194.5381,,,,
Blinked,204.5335,,,,
Blinked,207.8877,,,,
Blinked,210.6529,,,,
Blinked,211.6118,,,,
Blinked,214.0882,,,,
Blinked,219.4201,,,,
Blinked,219.9478,,,,
Blinked,220.6021,,,,
Blinked,221.9362,,,,
Blinked,226.0857,,,,
Blinked,229.0988,,,,
Blinked,233.1869,,,,
Blinked,236.7243,,,,
Blinked,242.3363,,,,
Blinked,243.8513,,,,
Blinked,251.6392,,,,
Blinked,251.9436,,,,
Blinked,255.1782,,,,
Blinked,258.5958,,,,
Blinked,258.9325,,,,
Blinked,261.183,,,,
Blinked,269.2339,,,,
Blinked,269.7183,,,,
Blinked,271.0032,,,,
Blinked,275.4683,,,,
Blinked,277.2345,,,,
Blinked,284.2094,,,,
Blinked,284.8467,,,,
Blinked,291.9741,,,,
Blinked,292.5792,,,,
Blinked,292.9961,,,,
Blinked,294.5386,,,,
Blinked,296.0949,,,,
Blinked,299.229,,,,
Blinked,302.3396,,,,
Blinked,303.4869,,,,
Blinked,307.1581,,,,
Blinked,311.7617,,,,
Blinked,312.7847,,,,
Blinked,314.6553,,,,
Blinked,316.2755,,,,
Blinked,322.0417,,,,
Blinked,328.5525,,,,
Blinked,330.3206,,,,
Blinked,333.3474,,,,
Blinked,341.4111,,,,
Blinked,343.4323,,,,
Blinked,346.3896,,,,
Blinked,346.9388,,,,
Blinked,351.8838,,,,
Blinked,353.4998,,,,
