Blink,time,,,,,
Blinked,0,,,,,
Blinked,16.89956,,,,time,blink
Blinked,18.33427,,,,0,0
Blinked,18.56081,,,,10,2
Blinked,25.06343,,,,20,4
Blinked,25.35264,,,,30,2
Blinked,25.71731,,,,40,4
Blinked,27.45395,,,,50,3
Blinked,35.49721,,,,60,3
Blinked,37.79807,,,,70,3
Blinked,42.01318,,,,80,6
Blinked,43.08423,,,,90,11
Blinked,43.67923,,,,100,7
Blinked,46.03449,,,,110,5
Blinked,53.98585,,,,120,1
Blinked,57.22984,,,,130,2
Blinked,59.8639,,,,140,4
Blinked,60.2604,,,,150,1
Blinked,62.47478,,,,160,3
Blinked,69.48991,,,,170,8
Blinked,71.51326,,,,180,2
Blinked,71.87811,,,,190,5
Blinked,75.90186,,,,200,6
Blinked,84.60818,,,,210,2
Blinked,85.60867,,,,220,2
Blinked,85.92798,,,,230,2
Blinked,86.58121,,,,240,3
Blinked,87.32395,,,,250,3
Blinked,88.41003,,,,260,5
Blinked,90.03367,,,,270,4
Blinked,93.44514,,,,280,3
Blinked,93.8605,,,,290,3
Blinked,94.14176,,,,300,1
Blinked,95.12037,,,,310,5
Blinked,95.94092,,,,320,2
Blinked,96.50182,,,,330,3
Blinked,98.0576,,,,340,4
Blinked,98.48048,,,,350,3
Blinked,98.88741,,,,360,2
Blinked,99.73177,,,,370,1
Blinked,104.8132,,,,380,0
Blinked,105.7843,,,,390,2
Blinked,106.3821,,,,400,3
Blinked,106.5349,,,,410,8
Blinked,107.7649,,,,420,2
Blinked,107.8202,,,,430,2
Blinked,108.0892,,,,440,2
Blinked,111.636,,,,450,2
Blinked,114.3738,,,,460,1
Blinked,117.124,,,,470,1
Blinked,117.2945,,,,480,3
Blinked,117.664,,,,490,0
Blinked,126.0665,,,,500,2
Blinked,133.362,,,,510,1
Blinked,133.479,,,,520,5
Blinked,141.1617,,,,530,
Blinked,143.1715,,,,540,
Blinked,146.6088,,,,550,
Blinked,146.6792,,,,560,
Blinked,152.6304,,,,570,
Blinked,163.2428,,,,580,
Blinked,167.9461,,,,590,
Blinked,168.9474,,,,600,
Blinked,172.4063,,,,,
Blinked,172.7603,,,,,
Blinked,173.2804,,,,,
Blinked,174.6394,,,,,
Blinked,175.9298,,,,,
Blinked,176.4762,,,,,
Blinked,177.9858,,,,,
Blinked,179.5907,,,,,
Blinked,182.3566,,,,,
Blinked,184.4226,,,,,
Blinked,190.0711,,,,,
Blinked,191.1311,,,,,
Blinked,193.5278,,,,,
Blinked,196.7934,,,,,
Blinked,199.0583,,,,,
Blinked,203.2877,,,,,
Blinked,204.3723,,,,,
Blinked,205.2715,,,,,
Blinked,205.7038,,,,,
Blinked,208.2057,,,,,
Blinked,209.7497,,,,,
Blinked,210.8516,,,,,
Blinked,213.3189,,,,,
Blinked,226.8625,,,,,
Blinked,227.0592,,,,,
Blinked,233.0676,,,,,
Blinked,234.891,,,,,
Blinked,242.2504,,,,,
Blinked,245.5788,,,,,
Blinked,246.5841,,,,,
Blinked,252.6935,,,,,
Blinked,253.4081,,,,,
Blinked,258.2489,,,,,
Blinked,260.2051,,,,,
Blinked,262.1354,,,,,
Blinked,262.9955,,,,,
Blinked,264.1967,,,,,
Blinked,269.6727,,,,,
Blinked,273.5374,,,,,
Blinked,274.9503,,,,,
Blinked,275.7184,,,,,
Blinked,276.1218,,,,,
Blinked,283.6776,,,,,
Blinked,284.3939,,,,,
Blinked,285.5707,,,,,
Blinked,291.2981,,,,,
Blinked,294.4223,,,,,
Blinked,298.5842,,,,,
Blinked,302.2885,,,,,
Blinked,311.9081,,,,,
Blinked,313.574,,,,,
Blinked,314.5786,,,,,
Blinked,317.0203,,,,,
Blinked,317.7698,,,,,
Blinked,324.4526,,,,,
Blinked,326.4327,,,,,
Blinked,332.7904,,,,,
Blinked,339.0125,,,,,
Blinked,339.3167,,,,,
Blinked,342.8826,,,,,
Blinked,342.9345,,,,,
Blinked,344.4922,,,,,
Blinked,346.4384,,,,,
Blinked,350.7182,,,,,
Blinked,352.4877,,,,,
Blinked,357.0352,,,,,
Blinked,368.3563,,,,,
Blinked,368.6551,,,,,
Blinked,378.742,,,,,
Blinked,393.952,,,,,
Blinked,398.4589,,,,,
Blinked,401.2191,,,,,
Blinked,402.4322,,,,,
Blinked,406.5668,,,,,
Blinked,413.0687,,,,,
Blinked,414.5968,,,,,
Blinked,415.0491,,,,,
Blinked,415.2126,,,,,
Blinked,415.5603,,,,,
Blinked,415.6075,,,,,
Blinked,416.1005,,,,,
Blinked,419.1993,,,,,
Blinked,427.7604,,,,,
Blinked,429.8153,,,,,
Blinked,433.8965,,,,,
Blinked,435.3019,,,,,
Blinked,440.3854,,,,,
Blinked,448.7972,,,,,
Blinked,450.6251,,,,,
Blinked,456.8624,,,,,
Blinked,463.1738,,,,,
Blinked,472.5117,,,,,
Blinked,481.0273,,,,,
Blinked,484.5542,,,,,
Blinked,487.4503,,,,,
Blinked,500.7013,,,,,
Blinked,507.1836,,,,,
Blinked,519.3843,,,,,
Blinked,520.1763,,,,,
Blinked,520.2521,,,,,
Blinked,520.7878,,,,,
Blinked,525.9415,,,,,
Blinked,528.2849,,,,,
Blinked,579.454,,,,,
Blinked,587.6407,,,,,
Blinked,595.5347,,,,,
Blinked,597.2327,,,,,
Blinked,598.5278,,,,,
Bli,,,,,,
