Blink,time,count
Blinked,7.68585,1
Blinked,8.262853,2
Blinked,9.208787,3
Blinked,10.15737,4
Blinked,10.61633,5
Blinked,10.85861,6
Blinked,11.64147,7
Blinked,12.30087,8
Blinked,12.8306,9
Blinked,12.9935,10
Blinked,17.49094,11
Blinked,18.59929,12
Blinked,21.23911,13
Blinked,22.2307,14
Blinked,23.85937,15
Blinked,25.76402,16
Blinked,26.66487,17
Blinked,26.94428,18
Blinked,29.36048,19
Blinked,29.67248,20
Blinked,31.86045,21
Blinked,35.4498,22
Blinked,37.2256,23
Blinked,37.55795,24
Blinked,38.87741,25
Blinked,41.10364,26
Blinked,41.67447,27
Blinked,43.29068,28
Blinked,44.66884,29
Blinked,45.11644,30
Blinked,45.26112,31
Blinked,46.05783,32
Blinked,46.3684,33
Blinked,48.72075,34
Blinked,49.87737,35
Blinked,50.1958,36
Blinked,51.80194,37
Blinked,52.15124,38
Blinked,53.37358,39
