Blink,time,count,,
Blinked,1.815466,1,,
Blinked,2.62185,2,,
Blinked,3.955689,3,,
Blinked,4.177851,4,,
Blinked,5.285524,5,,
Blinked,5.761613,6,,
Blinked,6.386005,7,,
Blinked,15.62618,8,,
Blinked,16.35702,9,,
Blinked,17.31664,10,,
Blinked,18.24635,11,,
Blinked,19.03354,12,,
Blinked,19.43335,13,,
Blinked,19.69765,14,,
Blinked,19.95483,15,,
Blinked,20.37167,16,,
Blinked,20.95052,17,,
Blinked,21.83535,18,,
Blinked,22.55694,19,,
Blinked,23.01458,20,,
Blinked,24.05962,21,,
Blinked,24.56766,22,,
Blinked,25.48069,23,,
Blinked,25.81683,24,,
Blinked,26.28098,25,,
Blinked,28.05142,26,,
Blinked,29.39135,27,,
Blinked,31.43744,28,,
Blinked,32.85228,29,,
Blinked,33.73195,30,,
Blinked,34.7654,31,,
Blinked,36.01596,32,,
Blinked,36.45313,33,,
Blinked,37.11317,34,,
Blinked,37.67967,35,,
Blinked,38.24405,36,,
Blinked,38.96331,37,,
Blinked,39.93887,38,,
Blinked,40.39571,39,,
Blinked,41.22169,40,,
Blinked,42.03177,41,,
Blinked,42.81462,42,,
Blinked,44.41623,43,,
Blinked,45.6787,44,,
Blinked,46.32901,45,,
Blinked,48.27118,46,,
Blinked,50.12732,47,,
Blinked,53.20754,48,,
Blinked,56.25278,49,,
Blinked,56.47549,50,,
Blinked,57.10917,51,,
Blinked,59.06899,52,,
Blinked,60.69104,53,,
Blinked,61.84342,54,,
Blinked,63.61789,55,,
Blinked,64.10172,56,,
Blinked,65.22339,57,,
Blinked,66.70297,58,,
Blinked,67.282,59,,
Blinked,68.89124,60,,
Blinked,70.5769,61,,
Blinked,71.94743,62,,
Blinked,73.36232,63,,
Blinked,74.50679,64,,
Blinked,75.33955,65,,
Blinked,76.02941,66,,
Blinked,76.61433,67,,
Blinked,77.40578,68,,
Blinked,81.66478,69,,
Blinked,82.18269,70,,
Blinked,82.4827,71,,
Blinked,83.15455,72,,
Blinked,84.43837,73,,
Blinked,87.73053,74,,
Blinked,88.56236,75,,
Blinked,89.3372,76,,
Blinked,90.27197,77,,
Blinked,91.65675,78,,
Blinked,94.53864,79,,
Blinked,95.02965,80,,
Blinked,98.174,81,,
Blinked,99.09163,82,,
Blinked,100.8675,83,,
Blinked,102.1452,84,,
Blinked,103.2771,85,,
Blinked,104.2777,86,,
Blinked,105.4605,87,,
Blinked,106.0603,88,,
Blinked,107.3081,89,,
Blinked,108.1446,90,,
Blinked,108.678,91,,
Blinked,109.1237,92,,
Blinked,110.7564,93,,
Blinked,111.5402,94,,
Blinked,113.1774,95,,
Blinked,115.8319,96,,
Blinked,117.3239,97,, 
Blinked,117.614,98,,
Blinked,118.4396,99,,
Blinked,120.3406,100,,
Blinked,122.8114,101,,
Blinked,125.2269,102,,
Blinked,126.5507,103,,
Blinked,128.3321,104,,
Blinked,129.144,105,,
Blinked,129.9182,106,,
Blinked,131.2497,107,,
Blinked,132.7706,108,,
Blinked,133.1478,109,,
Blinked,135.0161,110,,
Blinked,137.3941,111,,
Blinked,139.4057,112,,
Blinked,140.1727,113,,
Blinked,140.7055,114,,
Blinked,141.3393,115,,
Blinked,141.7431,116,,
Blinked,142.3171,117,,
Blinked,143.6199,118,,
Blinked,144.5649,119,,
Blinked,147.123,120,,
Blinked,149.98,121,,
Blinked,151.2956,122,,
Blinked,152.8771,123,,
Blinked,153.4761,124,,
Blinked,155.2272,125,,
Blinked,157.4014,126,,
Blinked,157.6832,127,,
Blinked,158.6448,128,,
Blinked,159.989,129,,
Blinked,161.6021,130,,
Blinked,163.1514,131,,
Blinked,164.6214,132,,
Blinked,165.1469,133,,
Blinked,167.2612,134,,
Blinked,168.8997,135,,
Blinked,169.985,136,,
Blinked,170.9462,137,,
Blinked,172.3112,138,,
Blinked,175.9086,139,,
Blinked,176.5004,140,,
Blinked,177.4593,141,,
Blinked,177.7032,142,,
Blinked,178.702,143,,
Blinked,179.7822,144,,
Blinked,181.2905,145,,
Blinked,181.8635,146,,
Blinked,182.3352,147,,
Blinked,182.9483,148,,
Blinked,185.4818,149,,
Blinked,186.377,150,,
Blinked,186.6979,151,,
Blinked,187.459,152,,
Blinked,188.329,153,,
Blinked,189.1198,154,,
Blinked,191.6776,155,,
Blinked,193.3909,156,,
Blinked,193.9606,157,,
Blinked,196.6769,158,,
Blinked,200.4699,159,,
Blinked,201.2294,160,,
Blinked,203.012,161,,
Blinked,206.6687,162,,
Blinked,207.4348,163,,
Blinked,208.4813,164,,
Blinked,208.9604,165,,
Blinked,210.4964,166,,
Blinked,211.3104,167,,
Blinked,212.4588,168,,
Blinked,213.7573,169,,
Blinked,214.5455,170,,
Blinked,215.6101,171,,
Blinked,216.5139,172,,
Blinked,216.9998,173,,
Blinked,217.9751,174,,
Blinked,221.8814,175,,
Blinked,223.9023,176,,
Blinked,224.5453,177,,
Blinked,224.8378,178,,
Blinked,225.6245,179,,
Blinked,226.4213,180,,
Blinked,226.9397,181,,
Blinked,230.1436,182,,
Blinked,232.0894,183,,
Blinked,234.1549,184,,
Blinked,235.1639,185,,
Blinked,235.7227,186,,
Blinked,236.2376,187,,
Blinked,240.7599,188,,
Blinked,241.4626,189,,
Blinked,242.7059,190,,
Blinked,243.8933,191,,
Blinked,244.4108,192,,
Blinked,248.5228,193,,
Blinked,253.5033,194,,
Blinked,255.6878,195,,
Blinked,257.3398,196,,
Blinked,259.726,197,,
Blinked,260.3935,198,,
Blinked,261.8351,199,,
Blinked,262.267,200,,
Blinked,266.8892,201,,
Blinked,267.2131,202,,
Blinked,267.5299,203,,
Blinked,268.8212,204,,
Blinked,270.3045,205,,
Blinked,273.6381,206,,
