Blink,time,count,tempblink
0.3533334,1,1,1
0.4545024,1,1,1
0.5704319,1,1,1
0.717186,1,1,1
0.8229315,1,1,1
0.9337577,1,1,1
1.037001,1,1,0
1.146526,1,2,0
1.257106,1,2,0
1.366122,1,2,0
1.472409,1,2,0
1.58469,1,2,0
1.694654,1,2,0
1.804097,1,2,0
1.907368,1,2,0
2.024384,1,2,0
2.13433,1,3,0
2.237134,1,3,0
2.341625,1,3,0
2.44882,1,3,0
2.557532,1,3,0
2.665296,1,3,0
2.77379,2,3,1
2.873944,2,3,1
2.978662,3,3,2
3.091777,3,3,0
3.199657,3,4,0
3.311912,3,4,0
3.421147,3,4,0
3.524449,3,4,0
3.625241,3,4,0
3.735947,3,4,0
3.841223,3,4,0
3.948494,3,4,0
4.054713,3,4,0
4.16039,3,5,0
4.266881,3,5,0
4.373621,3,5,0
4.478199,3,5,0
4.583756,3,5,0
4.685941,3,5,0
4.792411,3,5,0
4.895871,3,5,0
5.005961,3,5,0
5.109705,3,6,0
5.215421,3,6,0
5.319667,3,6,0
5.431859,3,6,0
5.536996,3,6,0
5.64675,3,6,0
5.751715,3,6,0
5.857293,3,6,0
5.963299,3,6,0
6.078648,3,6,0
6.195313,3,7,0
6.306033,3,7,0
6.420101,3,7,0
6.536204,3,7,0
6.645808,3,7,0
6.759359,3,7,0
6.868097,3,7,0
6.975183,3,7,0
7.088685,3,7,0
7.202144,3,8,0
7.313974,3,8,0
7.426137,3,8,0
7.53167,3,8,0
7.646245,3,8,0
7.756074,3,8,0
7.858325,3,8,0
7.968432,3,8,0
8.081397,3,8,0
8.192562,3,9,0
8.305247,3,9,0
8.416043,3,9,0
8.520933,4,9,1
8.627347,4,9,1
8.737529,4,9,1
8.841882,4,9,1
8.946661,4,9,1
9.055311,4,9,1
9.166843,4,10,0
9.275346,4,10,0
9.376156,4,10,0
9.48173,4,10,0
9.587627,4,10,0
9.695065,4,10,0
9.80015,4,10,0
9.907755,4,10,0
10.01225,4,10,0
10.11653,4,11,0
10.2253,4,11,0
10.33411,4,11,0
10.44345,4,11,0
10.54528,4,11,0
10.65066,4,11,0
10.76151,4,11,0
10.86934,4,11,0
10.97588,4,11,0
11.07826,4,11,0
11.19181,4,12,0
11.29762,4,12,0
11.40644,4,12,0
11.51512,4,12,0
11.6251,4,12,0
11.73282,4,12,0
11.84405,4,12,0
11.96135,4,12,0
12.07898,4,12,0
12.18559,4,13,0
12.2969,4,13,0
12.40645,4,13,0
12.52044,4,13,0
12.63172,4,13,0
12.74855,4,13,0
12.8649,4,13,0
12.97252,4,13,0
13.08041,4,13,0
13.19313,4,14,0
13.30629,4,14,0
13.41531,4,14,0
13.5334,4,14,0
13.64301,4,14,0
13.75311,4,14,0
13.85984,4,14,0
13.96943,4,14,0
14.0814,4,14,0
14.18946,4,15,0
14.29468,4,15,0
14.41185,4,15,0
14.51817,4,15,0
14.63234,4,15,0
14.74189,4,15,0
14.85712,4,15,0
14.97498,4,15,0
15.08733,4,15,0
15.19785,4,16,0
15.31065,4,16,0
15.41807,4,16,0
15.52217,4,16,0
15.63034,4,16,0
15.73571,4,16,0
15.84303,4,16,0
15.95869,4,16,0
16.06263,4,16,0
16.16673,4,17,0
16.28596,4,17,0
16.38688,4,17,0
16.49319,4,17,0
16.59399,4,17,0
16.69826,4,17,0
16.81637,4,17,0
16.91956,4,17,0
17.02236,4,17,0
17.12311,4,18,0
17.23773,4,18,0
17.33887,4,18,0
17.45492,4,18,0
17.57206,4,18,0
17.68709,4,18,0
17.78876,4,18,0
17.89076,4,18,0
17.9928,4,18,0
18.10303,4,18,0
18.20321,4,19,0
18.30695,4,19,0
18.42698,4,19,0
18.53049,4,19,0
18.63112,4,19,0
18.74853,4,19,0
18.86883,4,19,0
18.97121,4,19,0
19.08927,4,19,0
19.20855,4,20,0
19.32556,4,20,0
19.44045,4,20,0
19.55205,4,20,0
19.66365,4,20,0
19.77833,4,20,0
19.89622,4,20,0
20.01372,4,20,0
20.12626,4,21,0
20.23751,4,21,0
20.35496,4,21,0
20.47268,4,21,0
20.5887,4,21,0
20.69365,4,21,0
20.79685,4,21,0
20.90357,4,21,0
21.0084,4,21,0
21.11346,4,22,0
21.21567,4,22,0
21.31595,4,22,0
21.425,4,22,0
21.52792,4,22,0
21.63072,4,22,0
21.73172,4,22,0
21.85038,4,22,0
21.96669,4,22,0
22.0794,4,22,0
22.1795,4,23,0
22.29536,4,23,0
22.40534,4,23,0
22.52373,4,23,0
22.63891,4,23,0
22.75224,4,23,0
22.86825,4,23,0
22.99177,4,23,0
23.10769,4,23,0
23.22506,4,24,0
23.3447,4,24,0
23.46104,4,24,0
23.57639,4,24,0
23.68766,4,24,0
23.80136,4,24,0
23.91646,4,24,0
24.03354,4,24,0
24.13509,4,25,0
24.23533,4,25,0
24.33624,4,25,0
24.44063,4,25,0
24.55848,4,25,0
24.66405,4,25,0
24.76725,4,25,0
24.87075,4,25,0
24.97363,4,25,0
25.07854,4,25,0
25.18308,4,26,0
25.28955,4,26,0
25.39691,4,26,0
25.506,4,26,0
25.60696,4,26,0
25.71334,4,26,0
25.81484,4,26,0
25.917,4,26,0
26.03648,4,26,0
26.13993,4,27,0
26.24007,4,27,0
26.35265,4,27,0
26.46789,4,27,0
26.58131,4,27,0
26.68301,4,27,0
26.80014,4,27,0
26.91387,4,27,0
27.02751,4,27,0
27.1308,4,28,0
27.25022,4,28,0
27.36804,4,28,0
27.48492,4,28,0
27.59027,4,28,0
27.69128,4,28,0
27.79288,4,28,0
27.89946,4,28,0
28.00472,4,28,0
28.10761,4,29,0
28.21125,4,29,0
28.31534,4,29,0
28.41952,4,29,0
28.51995,4,29,0
28.62307,4,29,0
28.72605,4,29,0
28.82786,4,29,0
28.93301,4,29,0
29.03927,4,29,0
29.16118,4,30,0
29.26542,4,30,0
29.38198,4,30,0
29.48439,4,30,0
29.59299,4,30,0
29.69319,4,30,0
29.8108,4,30,0
29.92474,4,30,0
30.02821,4,30,0
30.12983,4,31,0
30.23404,4,31,0
30.33501,4,31,0
30.45255,4,31,0
30.56999,4,31,0
30.67003,4,31,0
30.77102,4,31,0
30.88736,4,31,0
31.00192,4,31,0
31.10571,4,32,0
31.22491,4,32,0
31.33226,4,32,0
31.43319,4,32,0
31.54867,4,32,0
31.65966,4,32,0
31.77332,4,32,0
31.889,4,32,0
32.00463,4,32,0
32.11585,4,33,0
32.21745,4,33,0
32.33464,4,33,0
32.45276,4,33,0
32.56178,4,33,0
32.66195,4,33,0
32.77781,4,33,0
32.88139,4,33,0
32.99894,4,33,0
33.11044,4,33,0
33.22478,4,34,0
33.34487,4,34,0
33.46368,4,34,0
33.58415,4,34,0
33.69734,4,34,0
33.81587,4,34,0
33.93386,4,34,0
34.05154,4,34,0
34.15155,4,35,0
34.26268,4,35,0
34.38074,4,35,0
34.48404,4,35,0
34.58844,4,35,0
34.70704,4,35,0
34.81171,4,35,0
34.91227,4,35,0
35.01853,4,35,0
35.12352,4,36,0
35.24173,4,36,0
35.34309,4,36,0
35.44536,4,36,0
35.54759,4,36,0
35.64795,4,36,0
35.75208,4,36,0
35.87214,4,36,0
35.97262,4,36,0
36.08662,4,36,0
36.20502,4,37,0
36.3219,4,37,0
36.43639,4,37,0
36.5378,4,37,0
36.65337,4,37,0
36.76608,5,37,1
36.87716,5,37,1
36.99588,5,37,1
37.11141,5,37,1
37.22491,5,38,1
37.3429,5,38,0
37.45781,5,38,0
37.57755,5,38,0
37.6781,5,38,0
37.78105,5,38,0
37.8995,5,38,0
38.00031,5,38,0
38.10143,5,39,0
38.21997,5,39,0
38.3233,5,39,0
38.42523,5,39,0
38.5257,5,39,0
38.62757,5,39,0
38.74222,5,39,0
38.85591,5,39,0
38.97057,5,39,0
39.08431,5,39,0
39.20319,5,40,0
39.31916,5,40,0
39.43165,5,40,0
39.54971,5,40,0
39.66471,5,40,0
39.78041,5,40,0
39.89634,5,40,0
40.0127,5,40,0
40.1301,5,41,0
40.24788,5,41,0
40.36198,5,41,0
40.46247,5,41,0
40.57647,5,41,0
40.69034,5,41,0
40.80869,5,41,0
40.9285,5,41,0
41.0286,5,41,0
41.14223,5,42,0
41.26096,5,42,0
41.37749,5,42,0
41.49676,5,42,0
41.60145,5,42,0
41.70325,5,42,0
41.80993,5,42,0
41.91197,5,42,0
42.01392,5,42,0
42.13038,5,43,0
42.23468,5,43,0
42.34681,5,43,0
42.44759,5,43,0
42.55137,5,43,0
42.6699,5,43,0
42.7865,5,43,0
42.90274,5,43,0
43.01924,5,43,0
43.13631,5,44,0
43.24715,5,44,0
43.36418,5,44,0
43.46685,5,44,0
43.58379,5,44,0
43.70426,5,44,0
43.80534,5,44,0
43.90656,5,44,0
44.02119,5,44,0
44.1287,5,45,0
44.23196,5,45,0
44.33236,5,45,0
44.45156,5,45,0
44.56936,5,45,0
44.68718,5,45,0
44.80389,5,45,0
44.92054,5,45,0
45.03824,5,45,0
45.15323,5,46,0
45.26695,5,46,0
45.37783,5,46,0
45.49474,5,46,0
45.60823,5,46,0
45.71756,5,46,0
45.83148,5,46,0
45.94608,5,46,0
46.04758,5,46,0
46.16472,5,47,0
46.27989,5,47,0
46.38814,5,47,0
46.50206,5,47,0
46.61988,5,47,0
46.73248,5,47,0
46.84729,5,47,0
46.96441,5,47,0
47.07274,5,47,0
47.18692,5,48,0
47.3038,5,48,0
47.42052,5,48,0
47.53813,5,48,0
47.64523,5,48,0
47.76068,5,48,0
47.86871,5,48,0
47.96945,5,48,0
48.08418,5,48,0
48.20192,5,49,0
48.31573,6,49,1
48.42513,6,49,1
48.54346,6,49,0
48.66288,6,49,0
48.77209,6,49,0
48.87391,6,49,0
48.97937,6,49,0
49.10073,6,49,0
49.2031,6,50,0
49.30635,6,50,0
