éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
0,0,0,0
0.02,0,0,0
0.3533334,-0.05496868,1.370131,0.6062626
0.4449677,-0.05329773,1.371043,0.6043011
0.4709024,-0.05334198,1.371087,0.603741
0.4919229,-0.05334514,1.371086,0.6035949
0.507637,-0.05335161,1.371113,0.6034967
0.5197949,-0.05338061,1.371179,0.603439
0.5331514,-0.053406,1.37126,0.6033179
0.5447792,-0.053395,1.371283,0.6032673
0.5588616,-0.05341786,1.37132,0.6031035
0.5717701,-0.05339241,1.371295,0.6030678
0.5890353,-0.05339453,1.371294,0.6030272
0.6016909,-0.05339926,1.371311,0.6029505
0.8042855,-0.05301934,1.37144,0.6022686
0.9532303,-0.05358064,1.371236,0.6022092
0.9731048,-0.05372253,1.37115,0.6022276
0.9862316,-0.05380601,1.371111,0.6022006
0.9980391,-0.05387285,1.371046,0.6022006
1.008284,-0.05392045,1.370974,0.6022249
1.01774,-0.05398971,1.370915,0.6022288
1.027899,-0.05408809,1.370906,0.602182
1.037745,-0.05419591,1.370852,0.6021532
1.046894,-0.05427444,1.370858,0.6022002
1.056633,-0.05429104,1.370856,0.6022235
1.067739,-0.0543226,1.37082,0.6022009
1.0788,-0.05438855,1.370813,0.6022164
1.089949,-0.05447268,1.370843,0.6022419
1.100135,-0.05448952,1.370853,0.6022457
1.111636,-0.05452457,1.370881,0.6021897
1.123561,-0.05455065,1.370872,0.6021637
1.134563,-0.05451167,1.370856,0.602177
1.145788,-0.05452845,1.370885,0.6021484
1.156788,-0.0545513,1.370901,0.6021489
1.168573,-0.05455697,1.37092,0.6021503
1.177911,-0.05457842,1.370905,0.6021565
1.189511,-0.05456781,1.3709,0.6021088
1.201137,-0.05458304,1.370867,0.6020755
1.210664,-0.05457944,1.370849,0.6020683
1.223136,-0.0545952,1.370848,0.6021236
1.233734,-0.05459738,1.370815,0.6021286
1.244662,-0.05460072,1.370782,0.6020755
1.256359,-0.05460498,1.370772,0.60208
1.267,-0.05460808,1.37076,0.6021208
1.278257,-0.05461869,1.370755,0.6021353
1.291796,-0.05461618,1.370736,0.6022178
1.302032,-0.05462661,1.3707,0.6022066
1.311841,-0.05462614,1.370724,0.6021272
1.322712,-0.05460763,1.370718,0.6020926
1.333895,-0.05455676,1.370693,0.6020986
1.344566,-0.05454004,1.3707,0.6021515
1.355988,-0.0545516,1.370713,0.602168
1.367267,-0.05452049,1.37072,0.6021084
1.37807,-0.0545243,1.370702,0.6020995
1.388869,-0.05450472,1.370734,0.6020583
1.399851,-0.0544849,1.370684,0.6021732
1.410982,-0.05449119,1.370723,0.6022359
1.422641,-0.05449694,1.370768,0.6022357
1.433158,-0.05448788,1.37078,0.6022891
1.444398,-0.05451798,1.370738,0.6023422
1.457143,-0.05449393,1.370703,0.6024204
1.466401,-0.05450869,1.370657,0.6025265
1.479394,-0.05456743,1.370592,0.6025575
1.490972,-0.05460811,1.370545,0.6025997
1.503303,-0.05464458,1.370495,0.6027087
1.514823,-0.05469304,1.37044,0.6027788
1.530741,-0.05474088,1.370409,0.6027993
1.540518,-0.05483866,1.370411,0.6028687
1.548757,-0.05488265,1.370387,0.6030365
1.557841,-0.05490473,1.370408,0.6031379
1.568437,-0.05494073,1.37037,0.6032785
1.578781,-0.0549536,1.370349,0.6033958
1.590636,-0.05499732,1.370368,0.6033913
1.601541,-0.05500448,1.370337,0.6035129
1.611519,-0.05504736,1.370307,0.6036326
1.622625,-0.05508208,1.370289,0.6037375
1.635448,-0.05511042,1.370286,0.603844
1.644601,-0.05514061,1.37027,0.6039473
1.656657,-0.05519578,1.370259,0.6040646
1.668056,-0.05524817,1.370232,0.6041669
1.679334,-0.05531782,1.370205,0.6042498
1.690431,-0.05536622,1.370192,0.6043264
1.701307,-0.05540311,1.370165,0.6044704
1.712523,-0.05539623,1.370162,0.6045927
1.72481,-0.05542532,1.370148,0.6046873
1.735683,-0.05541757,1.370136,0.6048073
1.746291,-0.05543265,1.37009,0.6049217
