éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
1,0,0,0
2,0,0,0
3,-0.05496868,1.370131,0.6062626
4,-0.05329773,1.371043,0.6043011
5,-0.05334198,1.371087,0.603741
6,-0.05334514,1.371086,0.6035949
7,-0.05335161,1.371113,0.6034967
8,-0.05338061,1.371179,0.603439
9,-0.053406,1.37126,0.6033179
10,-0.053395,1.371283,0.6032673
11,-0.05341786,1.37132,0.6031035
12,-0.05339241,1.371295,0.6030678
13,-0.05339453,1.371294,0.6030272
14,-0.05339926,1.371311,0.6029505
15,-0.05301934,1.37144,0.6022686
16,-0.05358064,1.371236,0.6022092
17,-0.05372253,1.37115,0.6022276
18,-0.05380601,1.371111,0.6022006
19,-0.05387285,1.371046,0.6022006
20,-0.05392045,1.370974,0.6022249
21,-0.05398971,1.370915,0.6022288
22,-0.05408809,1.370906,0.602182
23,-0.05419591,1.370852,0.6021532
24,-0.05427444,1.370858,0.6022002
25,-0.05429104,1.370856,0.6022235
26,-0.0543226,1.37082,0.6022009
27,-0.05438855,1.370813,0.6022164
28,-0.05447268,1.370843,0.6022419
29,-0.05448952,1.370853,0.6022457
30,-0.05452457,1.370881,0.6021897
31,-0.05455065,1.370872,0.6021637
32,-0.05451167,1.370856,0.602177
33,-0.05452845,1.370885,0.6021484
34,-0.0545513,1.370901,0.6021489
35,-0.05455697,1.37092,0.6021503
36,-0.05457842,1.370905,0.6021565
37,-0.05456781,1.3709,0.6021088
38,-0.05458304,1.370867,0.6020755
39,-0.05457944,1.370849,0.6020683
40,-0.0545952,1.370848,0.6021236
41,-0.05459738,1.370815,0.6021286
42,-0.05460072,1.370782,0.6020755
43,-0.05460498,1.370772,0.60208
44,-0.05460808,1.37076,0.6021208
45,-0.05461869,1.370755,0.6021353
46,-0.05461618,1.370736,0.6022178
47,-0.05462661,1.3707,0.6022066
48,-0.05462614,1.370724,0.6021272
49,-0.05460763,1.370718,0.6020926
50,-0.05455676,1.370693,0.6020986
51,-0.05454004,1.3707,0.6021515
52,-0.0545516,1.370713,0.602168
53,-0.05452049,1.37072,0.6021084
