time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,PupilSize,LeftBlink,RightBlink
0,0,0,0,0,-1,1,1
2,0,0,0,0,-1,1,1
3,0,0,0,0,-1,1,1
4,0,0,0,0,-1,1,1
5,0,0,0,0,-1,1,1
6,0,0,0,0,-1,1,1
7,0,0,0,0,-1,1,1
8,0,0,0,0,-1,1,1
9,0,0,0,0,-1,1,1
10,0,0,0,0,-1,1,1
11,0,0,0,0,-1,1,1
12,0,0,0,0,-1,1,1
13,0,0,0,0,-1,1,1
14,0,0,0,0,-1,1,1
15,0,0,0,0,-1,1,1
16,0,0,0,0,-1,1,1
17,0,0,0,0,-1,1,1
18,-0.223591,-0.7109902,-0.04819536,-0.704705,4.162628,0.4835508,0.4317935
19,-0.1739679,-0.7841769,0,0,5.202698,0,0
20,0,0,0,0,-1,1,1
21,-0.08195925,-0.03201783,0.04549503,-0.1179681,-1,0.7790362,0.5357885
22,0,0,-0.1091383,0.4181541,-1,0.3041511,0.375399
23,0,0,0,0,-1,1,1
24,0,0,0,0,-1,1,1
25,-0.0972755,-0.5891675,-0.01224154,0.1398293,-1,0.1984537,0.2321045
26,0,0,0,0,-1,1,1
27,0,0,0,0,-1,1,1
28,0,0,0,0,-1,1,1
29,-0.05865341,0.1539776,0.07807577,0.08519155,4.099228,1,1
30,-0.05858994,0.13041,0.06769216,0.1384948,3.683167,1,1
31,0.01639831,0.1337906,0.1533713,0.09831804,4.056213,0.6738081,0.7459602
32,0.05008686,0.2909298,0.191641,0.1658022,3.664322,1,1
33,0.03191841,0.269046,0.09097731,0.1033653,4.553299,1,1
34,-0.0643912,0.1452345,0.02891445,-0.00315845,2.940506,1,1
35,0.01878512,-0.008398175,0.1182222,-0.1513182,3.205612,0.8264118,0.745263
36,0.4516306,0.07024002,0,0,-1,0.1,0.2405194
37,-0.06236696,0.1848438,0.06108856,0.102157,-1,0.1137859,0.4570307
38,-0.0594877,0.1130907,-0.04669708,-0.07106817,3.348389,0.5696861,0.5419111
39,-0.006652057,0.4636282,0.154299,0.2925171,2.944702,0.8214701,0.9594473
40,-0.02650118,0.4338951,0.1135411,0.245414,4.110764,1,1
41,-0.08652169,0.1098686,0.3351115,-0.5119232,3.008224,0,0.06909307
42,-0.06463504,0.05835772,0.3577353,-0.5245261,-1,0,0.08730834
43,0.04380143,0.06317061,0,0,-1,0,0.03073921
44,-0.125502,0.3176903,0.02541232,0.1706017,3.702682,1,1
45,-0.205546,0.2801094,-0.06902498,0.1435544,3.987335,0.9206008,0.8116813
46,-0.200249,0.3349901,-0.03752333,0.1795669,4.150375,0.7428655,0.7191203
47,-0.102011,0.3319789,0.03680074,0.1718481,3.537628,1,1
48,-0.1213946,0.3030608,-0.0009214878,0.1358182,2.966064,1,1
49,-0.146852,0.3124968,-0.01550013,0.1408907,3.343079,1,1
50,-0.1576843,0.3149192,-0.02572113,0.1477165,3.942734,1,1
51,-0.2915363,0.4247103,-0.1555558,0.20442,3.909637,0.7180507,0.8261265
52,-0.07240874,0.2650259,0.05362439,0.08424348,3.517746,1,1
53,0.001163006,0.0626471,0.111133,-0.06551623,-1,0.3939009,0.4890796
54,-0.2395576,0.2940729,-0.1131993,0.1290861,3.243149,0.9284705,0.9319065
55,-0.2026924,0.3521677,-0.07325792,0.1716314,3.570938,1,1
56,0.3752415,0.2796773,-0.02824509,0.1956059,-1,0.7850409,0.8350813
57,0.05786192,0.3212924,0.1906631,0.1306202,3.604935,1,1
58,0.2144952,0.2118042,0.3879361,0.02044082,2.614258,0.5940314,0.5690307
59,-0.2381886,0.1914735,-0.01050413,-0.01007497,-1,0.3978991,0.5951313
60,0.07055521,0.3345582,0.2018747,0.1560103,3.658386,0.9549311,0.907159
61,-0.3948417,0.2680765,-0.2417787,0.1077214,3.913101,0.8515778,0.8551995
62,-0.05132598,0.3020476,0.09325445,0.1194202,3.900894,1,1
63,-0.1539565,0.2814639,-0.04782975,0.09650922,4.320114,1,1
64,-0.2504045,0.09174514,-0.1905818,-0.05267859,3.455521,0.70622,0.5857028
65,-0.2346686,0.2456209,-0.1331332,0.07692522,3.560989,0.7465333,0.8700143
66,-0.05502993,0.05148596,0.006563306,-0.1498457,3.743301,0.7516939,0.6892384
67,-0.1278136,0.067792,-0.06094497,-0.0774709,3.516296,1,1
68,-0.171593,0.02538592,-0.09421188,-0.09076583,3.736267,0.9492274,0.9268802
69,-0.1491972,0.02416182,-0.07108259,-0.09968436,3.477478,0.8680607,0.9350472
70,-0.2259567,0.1857145,-0.03374934,-0.04630136,2.712463,0.6072422,0.62551
71,-0.06833923,0.003780544,0,0,3.639145,0.5075054,0.6444954
72,-0.04453015,-0.0276196,0.09157681,-0.3499762,3.538376,0.4520012,0.6998644
73,-0.1106586,-0.005566835,-0.02586091,-0.1658701,3.639023,0.7048132,0.8467898
75,-0.02906996,0.05209726,0.04235983,-0.08949697,3.663513,1,1
76,-0.03752714,0.005845726,0.03451014,-0.1193997,3.476181,1,1
77,-0.1021979,-0.1378239,0.006014705,-0.3402324,3.473694,1,1
78,-0.09827757,-0.08016002,0,0,3.832321,0.4308091,0.6110159
79,0.147534,0.06669909,0,0,-1,0.05487849,0.4165843
80,-0.09899414,-0.06823969,-0.03770983,-0.2762357,3.599243,0.6480453,0.7672278
81,0.01246405,0.1655843,0.1390321,-0.00962472,3.519577,1,1
