time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blink
0,-0.1673288,-0.1577694,-0.1713432,-0.06901145,2.963272,3.200333,1,1,0
2,-0.2127693,-0.1898767,-0.2182871,-0.1007533,3.70018,3.717117,1,1,0
3,-0.1074389,-0.2561736,-0.1317671,-0.1925178,4.248917,4.305389,1,1,0
4,0.04242265,-0.2399253,0.03094709,-0.1785254,3.805786,3.851959,1,1,0
5,-0.04334933,-0.1281897,-0.07040739,-0.05278981,3.64534,3.716446,1,1,0
6,-0.2626637,-0.1690772,-0.2401463,-0.07957387,3.180588,3.462952,1,1,0
7,0.1306132,-0.3335403,0.08056355,-0.2650951,3.356049,3.784088,0.8361374,0.94445,0
8,0.01890552,-0.2651473,0.01192737,-0.1831963,3.669434,3.959961,0.824357,0.4888306,1
9,-0.03203416,-0.1624049,-0.06077003,-0.1047102,3.208206,3.315781,1,1,0
10,0.1410543,-0.08239758,0.08980918,-0.01546288,2.826752,2.803864,1,1,0
11,0.06835175,-0.3527305,0.02212858,-0.283621,3.459702,3.569168,0.5169848,0.6274214,1
12,-0.2489908,-0.323137,-0.2895166,-0.2512717,3.156769,3.266602,0.8279344,0.7099656,0
13,0.008594513,-0.3919452,-0.006356955,-0.3179175,3.197327,3.257767,0.7245055,0.6023303,0
14,-0.02606082,-0.4024591,-0.03660554,-0.3295163,3.655807,3.568069,0.605738,0.3207843,0
15,0.0745064,-0.3032688,0.06977689,-0.2308458,3.900864,3.862213,0.8756298,0.9685705,1
16,-0.03106898,-0.3920575,-0.03388488,-0.3232609,3.651901,3.772812,0.593964,0.2796978,0
17,0.09721518,-0.5308725,0.0195775,-0.4472352,3.846649,4.125412,0.1745396,0.1,1
18,-0.05436796,-0.2887381,-0.04975557,-0.2207701,3.930206,4.164703,1,1,0
19,-0.09327883,-0.4784482,-0.1212297,-0.3983641,4.004684,4.048386,0.8283595,0.6803572,0
20,-0.129917,-0.3091333,-0.1397713,-0.2449183,4.054199,4.251892,0.9405499,0.8872132,0
21,-0.07792556,-0.1433167,-0.103276,-0.0752058,4.127533,4.238739,1,1,0
22,-0.05863243,-0.26482,-0.1022313,-0.1911337,2.860138,2.767334,1,1,0
23,-0.2368425,-0.2066083,-0.2606479,-0.1324915,2.794647,3.011932,1,1,0
24,0.0412221,-0.1508844,0.02728426,-0.08271074,3.077286,3.238464,1,1,1
25,-0.2731729,-0.159236,-0.2887104,-0.08869207,3.318665,3.39299,1,1,0
26,0.02516472,-0.3703876,-0.02476799,-0.3060826,2.84845,3.001785,0.7665399,0.7205064,1
27,0.1103699,-0.3537098,0.07701802,-0.2716179,2.830048,2.801132,0.8447996,0.9231252,0
28,-0.1777061,-0.1637981,-0.2001872,-0.08697879,2.980606,3.098511,1,1,0
29,-0.2256485,-0.1602874,-0.2415041,-0.08178067,3.252701,3.306961,1,1,0
30,-0.223663,-0.1567179,-0.2361976,-0.07345629,3.270645,3.407364,1,1,0
31,0.08926845,-0.1179146,0.07152581,-0.04373002,-1,-1,0.6428656,0.6507716,1
32,-0.2480512,-0.1714652,-0.2601384,-0.09522867,3.318512,3.29985,1,1,0
33,0.001049995,-0.1267505,-0.01002932,-0.06351018,3.477631,3.462082,1,1,0
34,-0.08726853,-0.3089693,-0.1139767,-0.2395517,3.311066,3.511261,0.7271981,0.7367786,1
35,-0.02447158,-0.286194,-0.04827547,-0.2179325,2.870789,3.120697,0.5894544,0.646539,1
36,-0.0003665686,-0.2824551,-0.0222432,-0.2186608,2.865646,2.952896,0.8457127,0.866968,0
37,0.02360702,-0.315943,0.00209403,-0.2444037,2.941086,2.712601,0.7810754,0.6966903,0
38,0.02051473,-0.3019004,-0.0175029,-0.2501876,3.001572,3.02179,0.7539598,0.7331836,0
39,-0.08365196,-0.4650924,-0.1071731,-0.2395564,-1,-1,0.2052394,0.05405229,0
40,-0.1355215,-0.406878,0,0,-1,-1,0,0,2
41,-0.0907554,-0.3043553,-0.1173071,-0.2273434,3.066605,3.140289,1,1,0
42,-0.1184337,-0.2902634,-0.1438434,-0.2091271,3.102768,3.227692,0.9063547,0.9124957,0
43,-0.2550241,-0.273577,-0.2833867,-0.1953855,3.139191,3.353195,0.916655,0.7924098,0
44,0.04673243,-0.264105,0.02717853,-0.189917,3.324982,3.501434,0.9480425,0.7981376,1
45,-0.008269727,-0.2723767,-0.01044673,-0.2065964,3.426544,3.437454,0.9797404,0.8646368,0
46,-0.06368238,-0.2689943,-0.05830276,-0.2095494,3.159363,3.165009,0.9792576,0.9081082,0
47,-0.001992941,-0.2724967,-0.01434904,-0.2191244,3.230331,3.243774,0.8956649,0.8453988,1
48,-0.01683366,-0.1712673,-0.02786303,-0.09719908,2.379379,2.266037,1,1,0
49,0.1495661,-0.1555203,0.1453894,-0.1031773,2.00592,1.997452,1,1,0
50,-0.1434066,-0.1580058,-0.1577315,-0.07707286,2.137634,2.076675,1,1,1
51,-0.04866141,-0.3016
