ïbêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,1ïbìñÇΩÇËÇÃèuÇ´âÒêî
381,-1,-1,1,1,0
381,-1,-1,1,1,0
382,-1,-1,1,1,0
383,-1,-1,1,1,0
384,-1,-1,1,1,0
385,-1,-1,1,1,0
386,-1,-1,1,1,0
386,-1,-1,1,1,0
387,-1,-1,1,1,0
388,-1,-1,1,1,0
389,-1,-1,1,1,0
390,-1,-1,1,1,0
391,-1,-1,1,1,0
392,-1,-1,1,1,0
393,4.068481,4.153687,1,1,1
393,4.068481,4.153687,1,1,0
394,4.680786,4.536911,1,1,0
395,5.493423,5.01236,1,1,0
396,4.67511,4.452728,1,1,0
397,4.335052,4.421371,1,1,0
398,4.301331,4.005722,1,1,0
399,3.980057,4.245789,1,1,0
399,3.980057,4.245789,1,1,0
400,4.152298,3.954636,1,1,0
401,4.019012,3.728439,1,1,0
402,-1,-1,0.200275,0.2706466,0
403,-1,-1,1,1,1
404,-1,-1,1,1,0
405,-1,-1,1,1,0
406,-1,-1,1,1,0
407,-1,-1,1,1,0
408,-1,-1,1,1,0
408,-1,-1,1,1,0
409,-1,-1,1,1,0
410,-1,-1,0.2983038,0.3945586,2
411,5.231628,5.140808,1,1,1
412,-1,-1,0,0,1
413,3.648346,3.567032,1,1,0
414,-1,4.577591,0.6890472,0.6480778,0
414,-1,4.577591,0.6890472,0.6480778,0
415,4.057663,3.933105,1,1,1
416,2.937897,2.97467,1,1,1
416,2.937897,2.97
