time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
0.4860562,0,0,0,0,1,1,0,0,0
1.006885,0,0,0,0,1,1,0,0,0
1.51894,0,0,0,0,1,1,0,0,0
2.036499,0,0,0,0,1,1,0,0,0
2.557314,0,0,0,0,1,1,0,0,0
3.070623,0,0,0,0,1,1,0,0,0
3.602261,0,0,0,0,1,1,0,0,0
4.1237,0,0,0,0,1,1,0,0,0
4.647398,0,0,0,0,1,1,0,0,0
5.162103,0,0,0,0,1,1,0,0,0
5.668426,0,0,0,0,1,1,0,0,0
6.192022,0,0,0,0,1,1,0,0,0
6.70782,0,0,0,0,1,1,0,0,0
7.221179,0,0,0,0,1,1,0,0,0
7.738319,0,0,0,0,1,1,0,0,0
8.245214,0,0,0,0,1,1,0,0,0
8.75093,0,0,0,0,1,1,0,0,0
9.266912,0,0,0,0,1,1,0,0,0
9.77868,0,0,0,0,1,1,0,0,0
10.29919,0,0,0,0,1,1,0,0,0
10.80763,0,0,0,0,1,1,0,0,0
11.31162,0,0,0,0,1,1,0,0,0
11.82769,0,0,0,0,1,1,0,0,0
12.3308,0,0,0,0,1,1,0,0,0
12.83835,0,0,0,0,1,1,0,0,0
13.35548,0,0,0,0,1,1,0,0,0
13.86523,0,0,0,0,1,1,0,0,0
14.38806,0,0,0,0,1,1,0,0,0
14.895,0,0,0,0,1,1,0,0,0
15.418,0,0,0,0,1,1,0,0,0
15.93327,0,0,0,0,1,1,0,0,0
16.45431,0,0,0,0,1,1,0,0,0
16.95839,0,0,0,0,1,1,0,0,0
17.47809,0,0,0,0,1,1,0,0,0
17.99479,0,0,0,0,1,1,0,0,0
18.49825,0,0,0,0,1,1,0,0,0
19.00484,0,0,0,0,1,1,0,0,0
19.51712,0,0,0,0,1,1,0,0,0
20.03992,0,0,0,0,1,1,0,0,0
20.54747,0,0,0,0,1,1,0,0,0
21.06513,0,0,0,0,1,1,0,0,0
21.58437,-0.07944345,-0.3052316,-0.2910071,-0.4788971,0.4261385,0.5202717,0,0,0
22.10138,-0.008672953,-0.1817412,-0.2985882,-0.04974425,1,1,1.686432,0,4.07193
22.62882,-0.00376755,-0.1555753,-0.2821971,-0.09180391,1,1,2.146217,0,4.396629
23.13452,0.1089362,0.4061446,-0.2035801,0.2271657,1,1,1.410164,0,5.880821
23.6463,0.1585442,0.1019823,-0.1344492,0.06519395,1,1,1.56427,0,4.822235
24.16475,-0.02216095,0.2909927,-0.2940285,0.1947339,1,1,1.903244,0,4.250854
24.68857,0.2552086,0.2594116,-0.03288835,0.1744616,1,1,1.525864,0,4.466232
25.19204,-0.4203999,0.03872436,-0.7918366,0.004774868,0.7556962,0.04818767,-0.4999909,0.09346962,-0.2784653
25.69973,0.1840864,0.07431638,-0.1818671,-0.03548694,1,1,0.2298808,0.08466995,0.08329248
26.207,0.06582355,0.09734756,-0.3128175,0.01997817,1,1,0.05966949,0,0.05093384
26.72816,0.08265209,0.2050252,-0.3032485,0.1113331,1,1,0.02015686,0,0.03143311
27.23674,0.0009317398,0.1162262,-0.3458962,0.005248964,0.8849443,0.7364147,-0.06562805,0,0.2661057
27.7381,0.3149712,0.06776136,0.0170815,-0.1138343,0.7638744,0.3450831,1.72937,0,4.449989
28.25369,0.145708,0.1079848,-0.2201569,-0.01387572,0.8778601,0.6923923,2.127159,0,2.622246
28.7575,0.1417511,0.1835346,-0.1649971,0.08766115,0.9069362,0.8399641,3,0.9334601,4.429569
29.27386,0.01212859,0.01358116,0.009155154,-0.311659,0,0,0,0,0
29.78805,0.1840029,0.06398553,-0.1399974,-0.06202006,0.8352488,0.2672041,2.296677,0,2.462708
30.29751,0.1076846,0.09327865,-0.20588,-0.006990314,1,1,2.510689,0,2.523895
30.81536,0.4359889,0.1099431,0.09433019,0.07935774,1,1,2.284012,0,3.911781
31.33816,-0.01557159,0.05576921,-0.3175741,0.02145743,1,0.6447541,2.320694,0,4.016968
31.8594,0.07119608,0.04151976,-0.2301083,-0.02420187,1,0.6794302,2.32373,0,1.309776
32.38213,0.09703755,0.1703587,-0.2350316,0.08040518,1,1,2.980934,0,2.737335
32.89983,-0.07463664,-0.1983728,0.003744841,-0.4355919,0,0.1,0,0,0
33.40636,0.2110294,0.05974138,-0.0989942,-0.03498614,0.9801089,0.6239586,5.473503,0,2.470787
33.91281,0.1707158,0.1061372,-0.1368991,-0.008617282,0.9550705,0.8514761,5.639236,0.1,2.643372
34.41342,0.3009425,0.07696944,-0.01089048,-0.05089366,1,1,7,0.7350724,1.883528
34.92762,0.105461,0.07038695,-0.1807393,-0.00404501,0.9758683,0.692836,6.644798,0.3769299,1
35.43618,0.1477083,0.03082776,-0.1858302,-0.09428072,0.7301622,0.1675654,4.075655,0.7646425,3
35.95753,-0.03656656,0.05632097,-0.3606055,-0.03254199,0.999104,0.7766482,2.299507,0.1,2.451981
36.47844,-0.09361386,0.02563506,-0.4215968,-0.05053926,0.9967726,0.7196819,1.897232,0,5.594917
37.00243,0.2595677,0.08082199,-0.03798568,-0.03533709,0.9967919,0.7248443,3.683843,0.937216,7
37.53003,0.1541791,0.1145286,-0.148514,0.005690336,1,1,7.813965,0.1,5.943954
38.03509,0.07335234,0.1013002,-0.1956602,-0.01170671,0.5199118,0.06703927,0,0,0
38.54661,-0.2055531,0.1330078,-0.5557029,0.03791994,0.7996057,0.07339006,7.013908,0,9.183983
39.0512,-0.1071051,0.09266531,-0.4509544,0.00486666,1,1,5.088173,0,9.826248
39.55933,0.1494803,0.0680058,-0.1300578,-0.03800642,0.9157616,0.4997118,7.040971,0.9581454,7
40.06692,0.1626575,0.110163,-0.1360063,0.01374817,1,1,10.43578,0.1,5.690727
40.58033,0.4367099,0.08060092,0.1050998,-0.0510689,0.9363967,0.7092848,11,0.6720598,4.247412
41.09985,0.2388756,0.1406882,-0.06927925,0.03103614,1,1,10.223,0.1,2.35778
41.61038,-0.00509721,0.1701975,-0.3216614,0.06701028,1,1,17.39516,0,1.175148
42.12703,-0.02031308,0.1196864,-0.3362947,0.03166044,1,1,18.5378,0.1,2.238251
42.63993,0.1058896,0.09976667,-0.1881169,-0.001899362,1,1,27,0.2481415,2.940404
43.15225,-0.1260539,0.03504151,-0.4760545,-0.06238878,1,1,18.31246,0.1,6.139069
43.65536,0.4112575,0.04468626,0.08079791,-0.07573152,0.9071638,0.7396096,23.32159,0,5.658165
44.16781,0.02443171,0.09036863,-0.265994,-0.00191164,0.9396238,0.902431,26.98619,0,6.73777
44.69121,-0.05303937,-0.2579144,-0.04780191,-0.5267437,0,0,0,0,0
45.19842,0.4627364,0.08910942,0.1518557,-0.06419492,0.6702279,0.08419585,0,0,0
45.70431,0.05596864,-0.0152626,-0.03498858,-0.1345799,0.4865743,0.001091619,0,0,0
46.21849,-0.1985379,0.0712806,-0.5158479,-0.004997611,0.8534392,0.5452483,21,1.006677,9.416084
46.73068,-0.03742051,0.1337718,-0.3690933,0.03232574,1,1,21.11042,0.1,6.663437
