time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink
0.3533334,0,0,0,0,-1,-1,1,1
0.4635212,0,0,0,0,-1,-1,1,1
0.5705686,0,0,0,0,-1,-1,1,1
0.7253467,0,0,0,0,-1,-1,1,1
0.8389118,0,0,0,0,-1,-1,1,1
0.9579219,0,0,0,0,-1,-1,1,1
1.067541,0,0,0,0,-1,-1,1,1
1.181224,0,0,0,0,-1,-1,1,1
1.28157,0,0,0,0,-1,-1,1,1
1.394603,0,0,0,0,-1,-1,1,1
1.512513,0,0,0,0,-1,-1,1,1
1.616068,0,0,0,0,-1,-1,1,1
1.733247,0,0,0,0,-1,-1,1,1
1.836969,0,0,0,0,-1,-1,1,1
1.943713,0,0,0,0,-1,-1,1,1
2.060706,0,0,0,0,-1,-1,1,1
2.178778,0,0,0,0,-1,-1,1,1
2.292806,0,0,0,0,-1,-1,1,1
2.411184,0,0,0,0,-1,-1,1,1
2.511675,0,0,0,0,-1,-1,1,1
2.630317,0,0,0,0,-1,-1,1,1
2.732965,0,0,0,0,-1,-1,1,1
2.850642,0,0,0,0,-1,-1,1,1
2.967893,0,0,0,0,-1,-1,1,1
3.075161,0,0,0,0,-1,-1,1,1
3.176658,0,0,0,0,-1,-1,1,1
3.276878,0,0,0,0,-1,-1,1,1
3.377971,0,0,0,0,-1,-1,1,1
3.481732,0,0,0,0,-1,-1,1,1
3.583912,0,0,0,0,-1,-1,1,1
3.688542,0,0,0,0,-1,-1,1,1
3.809062,0,0,0,0,-1,-1,1,1
3.909255,0,0,0,0,-1,-1,1,1
4.013993,0,0,0,0,-1,-1,1,1
4.122075,0,0,0,0,-1,-1,1,1
4.229708,0,0,0,0,-1,-1,1,1
4.331865,-0.2149783,-0.5385213,0,0,-1,-1,1,1
4.44141,0.1359053,0.1462129,0.4597673,0.1301073,3.968842,4.728912,0,0
4.547342,-0.0117662,0.206043,0,0,-1,-1,0.09301424,0.2536908
4.652854,-0.09405953,0.2290362,0.1377043,0.2951311,-1,-1,0.6748777,0.7425162
4.760876,-0.1113902,-0.08777237,0.1026362,-0.1664882,-1,-1,0.4895076,0.2617671
4.874602,-0.1367275,-0.2325101,0.0719285,-0.1461821,-1,-1,0.7144765,0.3452857
4.983072,-0.05629349,-0.2105461,0.1302533,-0.1042383,-1,-1,1,0.6540599
5.092168,-0.1001114,-0.01107502,0.0844965,0.01699811,-1,3.630722,1,1
5.19872,-0.05011034,0.2561122,0.1304286,0.2348329,3.712952,3.968826,1,1
5.307672,0.04979229,0.2047866,0.1035087,0.06631452,-1,3.694366,0.3242914,0.3104735
5.416808,0.06487966,0.2305821,0.201241,0.1798407,3.896942,3.753647,0.9358726,0.8684044
5.528324,-0.1371204,0.06320214,0.06221068,-0.05159879,-1,-1,0,0.09921814
5.632271,-0.05610132,0.1676533,-0.06365967,0.1038453,3.378784,-1,0.1,0.02874261
5.739346,0.1636937,0.3428075,0.323212,0.2562693,4.165771,-1,0.6427233,0.7416732
5.842653,-0.06343323,0.1050375,0.04859507,-0.07748556,-1,-1,0,0.01487441
5.953667,-0.08570653,0.3256378,0.01499689,0.1935581,-1,-1,0.1,0.1969626
6.056713,-0.1592919,0.3046076,-0.01014906,0.2362078,4.005569,3.823273,0.4616044,0.5256261
6.158764,0.01797259,0.1013785,-0.1413548,-0.006487131,-1,-1,0.1,0
6.261693,-0.03324997,0.08312297,-0.03679901,-0.05505824,-1,-1,0.1,0.1
6.365325,-0.3842848,0.4065907,-0.1834358,0.229184,-1,-1,0.1,0.2457841
6.467127,-0.119381,0.2356325,-0.05031347,0.1670718,3.181702,2.810822,0,0.2680056
6.572695,-0.2189851,0.3086044,-0.02408808,0.259985,-1,-1,0,0.2323189
6.68381,-0.118921,0.3694797,0.02988064,0.3033625,4.44281,4.384689,1,1
6.794,-0.09091371,0.3364386,0.06112969,0.2662823,4.435715,4.395828,1,1
6.901371,-0.06857228,0.368015,0.07737899,0.2883453,4.42804,4.33194,1,1
7.009197,-0.05557787,0.3930181,0.07454503,0.3094649,4.211365,4.224884,1,1
