time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftPupilSize,RightPupilSize,LeftBlink,RightBlink,blinktiming
0.3533334,0,0,0,0,-1,-1,1,1,null
0.473603,0,0,0,0,-1,-1,1,1,null
0.5841094,0,0,0,0,-1,-1,1,1,null
0.7178361,0,0,0,0,-1,-1,1,1,null
0.8326327,0,0,0,0,-1,-1,1,1,null
0.9370002,0,0,0,0,-1,-1,1,1,null
1.040494,0,0,0,0,-1,-1,1,1,null
1.145798,0,0,0,0,-1,-1,1,1,null
1.248272,0,0,0,0,-1,-1,1,1,null
1.350806,0,0,0,0,-1,-1,1,1,null
1.453509,0,0,0,0,-1,-1,1,1,null
1.556362,0,0,0,0,-1,-1,1,1,null
1.656633,0,0,0,0,-1,-1,1,1,null
1.762084,0,0,0,0,-1,-1,1,1,null
1.865961,0,0,0,0,-1,-1,1,1,null
1.968906,0,0,0,0,-1,-1,1,1,null
2.078166,0,0,0,0,-1,-1,1,1,null
2.18452,0,0,0,0,-1,-1,1,1,null
2.291531,0,0,0,0,-1,-1,1,1,null
2.397536,0,0,0,0,-1,-1,1,1,null
2.502101,0,0,0,0,-1,-1,1,1,null
2.605628,0,0,0,0,-1,-1,1,1,null
2.707809,0,0,0,0,-1,-1,1,1,null
2.81567,0,0,0,0,-1,-1,1,1,null
2.917949,0,0,0,0,-1,-1,1,1,null
3.038712,0,0,0,0,-1,-1,1,1,null
3.140007,0,0,0,0,-1,-1,1,1,null
3.242416,0,0,0,0,-1,-1,1,1,null
3.344663,0,0,0,0,-1,-1,1,1,null
3.446506,0,0,0,0,-1,-1,1,1,null
3.548569,0,0,0,0,-1,-1,1,1,null
3.667172,0,0,0,0,-1,-1,1,1,null
3.770065,-0.05632615,-0.3049244,0.34949,-0.5294567,5.014832,3.915695,0,0,blinked
3.877532,-0.1341141,-0.4068087,0.2033921,-0.359892,4.561722,4.492004,0,0,null
3.979619,0.07938361,-0.5391266,0,0,-1,-1,0.3506491,0.2168332,null
4.079822,0.1667589,-0.5167271,0.4200293,-0.7332135,4.84993,-1,0.9150789,0.4476055,null
4.183008,-0.09556258,-0.6343445,0,0,-1,-1,0.3829343,0.1355817,null
4.284482,0,0,0,0,-1,-1,0.05620357,0.2739595,null
4.387592,0,0,0,0,-1,-1,0.06450418,0.09831445,null
4.494057,0,0,0,0,-1,-1,0.04450932,0.1970755,null
4.59673,0,0,-0.5460007,-0.7374406,-1,-1,0.05272321,0.2174612,null
4.704001,0,0,-0.04376513,0.4806782,-1,-1,0.003268316,0.1622723,null
4.805564,-0.1938713,-0.4971753,0.04360235,-0.3724443,-1,-1,0.4252881,0,blinked
4.909798,-0.1789596,-0.1980157,-0.0009573102,-0.1221768,5.20192,4.805679,0.6971829,0.417715,null
5.015278,-0.1759581,-0.1471918,-0.007701397,-0.0745939,4.990631,5.505859,0.7849735,0.5651037,null
5.122864,-0.1744159,-0.1550175,-0.01021421,-0.1697958,4.955994,5.097916,0.9589832,0.9454607,null
5.236175,-0.1296817,-0.3132777,0,0,-1,4.453308,0.5070828,0.260599,null
5.356122,-0.07491338,-0.157614,0.08479917,-0.1777411,-1,4.240952,0.8107787,0.2694634,blinked
5.463367,-0.1057093,-0.0775311,0.04513657,0.009411037,5.675827,3.389618,1,1,null
5.574724,-0.08127397,0.2525824,0.08429682,0.2641777,4.939377,3.707916,1,1,null
5.676026,-0.09662515,0.1311179,0.08107734,0.2732208,-1,-1,0.6845626,0.1459117,null
5.779658,-0.1412399,0.1548222,0.01524806,0.3133,4.779083,3.843216,1,1,null
5.886233,-0.09295511,0.1637883,0.07225454,0.1620336,4.62587,4.06218,1,1,null
5.993831,-0.03313279,0.009488821,0.09821892,0.004306495,-1,-1,0,0,blinked
6.104416,0.1615891,0.3146805,0.3110192,0.2059767,-1,-1,0.629788,0.5587294,null
6.208963,0.09637499,0.3089532,0.2473073,0.2628812,4.714813,4.003906,1,1,null
6.309803,0.6126337,0.03626192,-0.02509069,0.06197143,-1,-1,0,0,blinked
6.414538,0.28922,0.1747057,0.4348352,0.08818024,-1,-1,0.4266497,0.09156078,null
6.52235,0.1670389,0.2073401,0.3049465,0.1615758,-1,-1,0.7204714,0.6499165,null
6.631429,0.09575677,0.1647758,0.2074199,0.1082056,4.440491,3.99585,1,1,null
6.734233,-0.02485108,0.1665004,0.08459401,0.1536234,4.443115,4.576187,1,1,null
6.837154,-0.05713546,0.1466667,0.06174946,0.1539794,4.688217,4.611679,1,1,null
6.940038,-0.09934288,0.2198693,0.02141929,0.223069,4.952148,4.694016,1,1,null
7.040805,-0.05569488,0.2095767,0.1089031,0.2191837,4.710327,4.843048,0.7274055,0.7704443,null
7.145961,-0.1385715,0.03392279,0.06801307,-0.04920244,-1,-1,0,0,blinked
7.249329,-0.170795,0.05514604,0.0761317,0.01380229,-1,-1,0.1,0,null
7.352286,-0.5432135,0.2400444,-0.3396912,0.2706097,-1,-1,0.2847455,0.1,null
7.461449,-0.3945307,0.2420371,-0.2243091,0.2356791,4.774918,4.651474,0.7339061,0.7029151,null
7.568281,0.5911466,-0.01737666,0.09604752,-0.04538059,-1,-1,0,0,blinked
7.671529,-0.03624225,0.2379796,0.09251392,0.2754329,4.675568,4.795929,0.5727452,0.162889,null
7.777491,0.09258449,0.1608841,0.2001079,0.1600878,4.571182,4.595932,0.8156887,0.8568621,null
7.883635,0.08554661,0.2429612,0.2115017,0.2122298,4.880035,4.56517,0.8465034,0.9080814,null
7.990331,0.04580832,0.3354816,0.1687082,0.2770931,4.862366,4.537018,0.7565909,0.9012574,null
8.099177,-0.2525458,0.001420915,0.03556752,0.02670181,-1,-1,0,0,blinked
8.204762,-0.1963692,0.08796042,-0.01810896,0.05268812,-1,-1,0.1,0.1,null
8.316162,-0.07951337,0.3261879,0.1169697,0.2743796,-1,-1,0.06211189,0.1,null
8.421093,-0.05432433,0.3349506,0.1141288,0.2794623,4.097488,4.007095,0.6822538,0.8472388,null
8.525183,-0.06315231,0.3070946,0.09615672,0.2719371,4.225067,3.974731,1,1,null
8.627635,-0.08155489,0.3327203,0.07499278,0.2874763,4.282715,4.180527,1,1,null
