time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,PupilSize,LeftBlink,RightBlink
0.3533334,0,0,0,0,-1,1,1
0.4583404,0,0,0,0,-1,1,1
0.5691988,0,0,0,0,-1,1,1
0.7103989,0,0,0,0,-1,1,1
0.8172657,0,0,0,0,-1,1,1
0.9335722,0,0,0,0,-1,1,1
1.044259,0,0,0,0,-1,1,1
1.160303,0,0,0,0,-1,1,1
1.272474,0,0,0,0,-1,1,1
1.39156,0,0,0,0,-1,1,1
1.491755,0,0,0,0,-1,1,1
1.609591,0,0,0,0,-1,1,1
1.723767,0,0,0,0,-1,1,1
1.839464,0,0,0,0,-1,1,1
1.943169,0,0,0,0,-1,1,1
2.044053,0,0,0,0,-1,1,1
2.156201,0,0,0,0,-1,1,1
2.272208,0,0,0,0,-1,1,1
2.372855,0,0,0,0,-1,1,1
2.493223,0,0,0,0,-1,1,1
2.595517,0,0,0,0,-1,1,1
2.711538,0,0,0,0,-1,1,1
2.813144,0,0,0,0,-1,1,1
2.931638,0,0,0,0,-1,1,1
3.050856,0,0,0,0,-1,1,1
3.166843,0,0,0,0,-1,1,1
3.271029,0,0,0,0,-1,1,1
3.374675,0,0,0,0,-1,1,1
3.491079,0,0,0,0,-1,1,1
3.610854,0,0,0,0,-1,1,1
3.711795,0,0,0,0,-1,1,1
3.827649,0,0,0,0,-1,1,1
3.943604,0,0,0,0,-1,1,1
4.05995,0,0,0,0,-1,1,1
4.177455,0,0,0,0,-1,1,1
4.296317,0,0,0,0,-1,1,1
4.412092,0,0,0,0,-1,1,1
4.529431,0,0,0,0,-1,1,1
4.636106,0,0,0,0,-1,1,1
4.737431,0,0,0,0,-1,1,1
4.849813,0,0,0,0,-1,1,1
4.970387,0,0,0,0,-1,1,1
5.072079,0,0,0,0,-1,1,1
5.172459,0,0,0,0,-1,1,1
5.272674,0,0,0,0,-1,1,1
5.392137,0.1202672,-0.7180264,0.3274095,-0.6999588,-1,0,0
5.495236,-0.01916909,0.3034921,0.1148305,0.05848223,3.302872,0,0
5.614441,-0.08201838,0.02435714,0.06126583,0.01778674,4.033127,0.7163366,0.3596498
5.730853,0.002845883,-0.1713006,0,0,-1,0.1836515,0.1483473
5.847682,0.3010641,-0.1927159,0.490401,-0.2634392,4.278763,0.6387565,0.2906541
5.94912,0.2703241,0.05230337,0.4280286,-0.02333105,4.106308,1,1
6.051014,0.2158537,0.04818404,0.3613766,-0.03704512,4.508224,1,1
6.170863,0.268225,0.02013808,0.4099171,0.00764066,4.485855,1,1
6.288266,0.08409107,0.1447353,0.1872458,0.1015467,4.448593,1,1
6.390472,-0.01492631,0.1163317,0.0846616,0.06411004,4.357956,1,1
6.494895,-0.04137003,0.1433162,0.07209444,0.08126658,4.432739,1,1
6.600965,-0.04328841,0.1868889,0.08018935,0.1178622,4.283035,1,1
6.710918,-0.1241959,0.05659103,0,0,-1,0.1486536,0.1578152
6.827156,0,0,0.007696986,-0.2454261,-1,0,0.174308
6.944858,-0.565807,-0.08558381,-0.4626181,-0.0940547,-1,0.5829403,0.391816
7.063037,-0.2592198,0.07676756,-0.204468,-0.0667119,4.034058,0.8736441,0.6830859
7.168436,-0.1439757,0.1236373,-0.08224046,-0.01822352,3.965851,1,1
7.269479,-0.1783808,0.04563951,-0.1220731,-0.07078433,4.076019,0.9997485,0.8935189
7.431921,0.007115483,-0.04706049,0.03581166,-0.1792321,4.166794,1,1
7.536481,-0.07372999,-0.05865848,-0.02981126,-0.1586105,4.09761,1,1
7.639952,-0.08877373,0.05390471,-0.04686332,-0.04201007,4.347321,1,1
7.75771,-0.05714589,0.04178309,0.01230967,-0.06517756,4.275009,1,1
7.86472,-0.06152236,0.03479522,0.009783626,-0.06617069,4.317413,1,1
7.975889,-0.05185962,0.0415051,0.01025355,-0.06488538,4.106506,1,1
8.087504,-0.05155641,0.06103414,0.02332306,-0.05006695,3.796204,1,1
8.197973,-0.08286041,0.05725586,0.002938032,-0.03845263,3.597855,1,1
8.30319,-0.08677065,0.05032867,0.003321171,-0.03845263,3.460312,1,1
8.420358,-0.09359586,0.0403412,0.007327914,-0.04889226,3.217224,0.9642558,0.8874765
8.535969,-0.09869158,0.06274682,0.004579663,-0.02639723,3.147934,0.9062987,0.8552396
8.636908,-0.09982485,0.03955293,0.02372313,-0.009585857,3.170944,0.8407186,0.7457227
8.756472,-0.1245506,0.08227289,-0.01147795,0.02998078,3.115585,0.805622,0.6340436
8.858751,-0.1142339,0.084149,-0.002845287,0.01560098,3.226822,0.9368103,0.8227086
8.975321,-0.08442414,0.07909369,0.02637219,-0.0127995,3.286133,1,1
9.076877,-0.08133817,0.08497316,0.03993261,-0.008580685,3.334045,1,1
9.178866,-0.07962042,0.08482897,0.04203475,-0.01303196,3.416718,1,1
9.287539,-0.0767144,0.09984857,0.04902864,0.001241326,3.483734,1,1
9.389222,-0.08149558,0.08408636,0.04726291,-0.007463217,3.392883,1,1
9.49015,-0.08958381,0.08427185,0.04363751,-0.009607434,3.327454,1,1
9.606858,-0.07534623,-0.0273627,0.1011478,-0.3172261,-1,0.08869406,0.1092104
9.708782,-0.05093199,0.09793001,0.08783329,0.01663649,3.130707,0.8752739,0.7112976
9.811615,-0.05270594,0.08177215,0.07593501,-0.004228354,3.108551,1,1
9.929615,-0.0319472,0.08282733,0.08872128,-0.007023931,2.997284,1,1
10.03046,-0.03043002,0.105316,0.09627616,0.01633745,3.193909,1,1
10.13076,-0.08948165,0.05965632,-0.05702925,-0.3441919,-1,0.5354741,0.1952679
10.24869,-0.07772017,0.07375878,0.0308429,-0.008303642,3.361557,1,1
10.34995,-0.06752455,0.0718857,0.03853631,-0.008866668,3.248856,1,1
10.46707,-0.05943984,0.04484141,0.04291463,-0.05046964,3.115051,1,1
10.57208,-0.0371176,0.06092072,0.07046294,-0.05540371,3.132675,1,1
10.67511,-0.03883523,0.06455946,0.06925404,-0.04999912,3.199295,1,1
10.79606,-0.06827044,0.05430847,0.04133534,-0.05528843,3.105255,1,1
10.91461,-0.08709013,0.06978381,0.03102887,-0.03154206,3.00528,1,1
11.02129,-0.06907225,0.05340111,0.04855883,-0.05047572,2.774826,0.8291609,0.6480674
11.12874,-0.08848542,0.05915999,0.03481531,-0.04951334,2.859665,1,1
11.23079,-0.1133037,0.05628067,0.01144099,-0.04639101,2.905807,1,1
11.33204,-0.1454506,0.06378675,-0.01803428,-0.03386462,2.876175,1,1
11.43519,-0.1765061,0.0667935,-0.04152209,-0.03040004,3.094803,1,1
11.53864,-0.198486,0.06667173,-0.05748802,-0.02608573,2.987473,0.9782254,0.9508876
11.63905,-0.1901014,0.07008356,0,0,-1,0.3527382,0.2064432
11.73933,-0.1733355,0.07457918,-0.03122908,-0.04046631,3.166733,0.8859614,0.7592168
11.84345,-0.1854021,0.06487137,-0.05579621,-0.0420624,3.143906,0.9770985,0.8688158
11.94615,-0.1921976,0.06263787,-0.06031722,-0.04785514,3.121552,0.9730383,0.8814415
12.04792,-0.1264397,-0.2534425,-0.105666,-0.3695874,3.291946,0.8284301,0.7134031
12.15406,-0.1267949,-0.1941756,-0.08341324,-0.3040576,3.373215,0.8862914,0.753952
12.25625,-0.05738556,-0.2308087,-0.04433393,-0.3512608,3.164703,0.8755547,0.7523783
12.36224,-0.05632585,-0.2241696,-0.02808732,-0.3323507,3.275818,0.938067,0.7972674
12.46494,-0.06017995,-0.2257152,-0.0310905,-0.3186927,3.164505,0.9317087,0.8171202
12.56586,-0.07773817,-0.2149043,-0.03754318,-0.3078961,3.210022,0.94941,0.8412344
12.6862,-0.08759707,-0.218183,-0.04012865,-0.3168232,3.179337,0.965219,0.8608097
12.78986,-0.08283418,-0.2231297,-0.03300142,-0.3211993,3.209412,0.9679162,0.8620137
12.89281,-0.07933182,-0.2151946,-0.02692765,-0.3344994,3.236465,0.9763958,0.8698165
13.01081,-0.1080278,-0.1421878,-0.03863233,-0.2572631,3.220673,0.9692453,0.8620744
13.11279,-0.1659161,0.1570544,-0.04687822,-0.1580271,-1,0.6904266,0.6083835
13.21716,-0.162903,0.1636086,-0.04764575,0.06556916,3.314301,1,1
13.33084,-0.1498947,0.1506581,-0.0287028,0.0342558,3.446548,1,1
13.44989,-0.1441294,0.1179329,-0.01727831,-0.002981901,3.32164,1,1
13.55495,-0.1631154,0.1095268,-0.02344,-0.003472924,3.371643,0.9162117,0.9540634
13.65803,-0.07287002,0.09265852,0.02837253,-0.01962388,3.381531,1,1
13.76982,-0.02068084,0.07910568,0.06817508,-0.04167461,3.265289,1,1
13.87158,-0.01672482,0.08447558,0.07770014,-0.03856099,3.336716,1,1
13.9731,-0.03737867,0.06995803,0.05905318,-0.05103016,3.108459,1,1
14.08864,-0.1020178,0.04102206,-0.01027101,-0.0627687,3.092377,0.9912646,0.9742321
14.18889,-0.09186155,0.04088944,0.003116608,-0.06398976,3.147171,1,1
14.30661,-0.05293918,0.002562404,0.04535198,-0.1141217,3.191772,1,1
14.40869,-0.1177353,-0.0963887,-0.0735333,-0.2168655,3.366104,1,1
14.51198,-0.1075014,-0.08980572,-0.05249345,-0.2027276,3.262985,1,1
14.6156,-0.1065649,-0.05488682,-0.04939276,-0.1820456,3.456253,1,1
14.72225,-0.1140573,-0.01658309,-0.06491983,-0.1394798,3.577728,1,1
14.82695,-0.1465468,-0.01194119,-0.1005893,-0.1253566,3.634232,1,1
14.93616,-0.1632489,-0.01428235,-0.1182509,-0.1246905,3.605331,1,1
15.04112,-0.1525083,0.03465211,-0.09995562,-0.08829045,3.682663,1,1
15.14118,-0.1393585,0.03127122,-0.08185339,-0.08833385,3.759186,1,1
15.25089,-0.1485654,0.006987929,-0.08448166,-0.1003821,3.808594,1,1
15.35929,-0.1139948,-0.01914525,-0.05595446,-0.1277194,3.754227,1,1
15.46111,-0.09505826,-0.02105677,-0.04650205,-0.1375937,3.872452,1,1
15.56897,-0.07569832,-0.04845917,-0.02901399,-0.1659667,3.907898,1,1
15.6738,-0.07554811,-0.05768895,-0.02891523,-0.1670444,3.93576,1,1
15.77915,-0.07526457,-0.06267655,-0.03299177,-0.1823947,3.916138,1,1
15.88198,-0.07917845,-0.07572603,-0.04087526,-0.1879758,3.952576,1,1
15.98487,-0.00916028,0.02009642,0.05989957,-0.1033987,3.761322,1,1
16.08708,0.0273844,0.02567381,0.1069797,-0.1052623,3.725723,1,1
16.19192,0.01140428,0.0253312,0.1008906,-0.09846258,3.974396,1,1
16.29399,0.009372592,0.0259918,0.1029675,-0.09428167,4.003174,1,1
16.39616,0.002408028,0.02701575,0.1016771,-0.0954802,4.050766,1,1
16.50106,-0.004078746,0.02223402,0.1013569,-0.09902918,3.857407,1,1
16.6141,-0.008806288,0.01754415,0.09975362,-0.09895909,3.542511,1,1
16.7141,-0.01331496,0.02236938,0.09546399,-0.09468353,3.232727,1,1
16.83111,-0.01591563,0.02430433,0.09490871,-0.09427464,2.938034,1,1
16.93474,-0.01897842,0.01757383,0.1007782,-0.09702885,2.869278,1,1
17.03691,-0.03561383,0.02568835,0.1133026,-0.08511913,2.721024,0.9856025,0.83299
17.13805,-0.0281629,0.07681108,0.1350331,-0.04628444,2.887161,0.8632481,0.7030005
17.23869,-0.02155477,0.07017702,0.1293544,-0.05409098,2.836716,1,1
17.34317,-0.01758695,0.05833465,0.1334102,-0.06386006,2.801895,1,1
17.46267,-0.01193541,0.04046857,0.139787,-0.08689845,2.765671,1,1
17.56394,-0.003474474,0.05176222,0.1436641,-0.07124257,2.769852,1,1
17.6837,-0.0002489686,0.04788327,0.1369331,-0.07003343,2.729523,1,1
17.78469,0.007898211,0.05888373,0.1334349,-0.06915724,2.699158,1,1
17.88607,-0.05432433,0.01430982,0.04989576,-0.114303,2.705917,1,1
17.99076,-0.04670852,0.003957987,0.0609982,-0.1277478,2.551712,0.9996518,0.8963505
18.09579,0.09187663,0.05810565,0.2220236,-0.09244239,2.464981,0.791644,0.6795062
18.21633,0.09672987,0.03910601,0.2063679,-0.1130431,2.547928,0.9503987,0.9083438
18.32177,0.1815029,0.06021601,0.3002974,-0.1335272,2.590942,0.8908208,0.7860067
18.42531,0.2401909,0.04569811,0.3494164,-0.1526107,2.742966,0.9166789,0.8484921
18.53228,0.1456485,0.06025666,0.2377746,-0.1332723,2.597397,1,1
18.63841,0.1926293,0.04142052,0.2681826,-0.1469437,2.935913,0.9650407,0.9936416
18.74212,0.05654466,0.04943049,0.1431677,-0.1070858,3.046997,1,1
18.84906,0.09480083,0.1262521,0.1884891,-0.04227436,2.976776,1,1
18.95328,0.07848322,0.1633683,0.1676406,0.003305495,3.134064,1,1
19.05483,0.001393914,0.2041936,-0.01186025,-0.118026,-1,0.4953518,0.3219301
19.1571,-0.03943086,0.1822448,0.06178057,0.04550779,3.257599,0.9555305,0.9581315
19.26412,-0.09164566,0.1506068,0.0166012,0.02609718,3.248566,1,1
19.37787,-0.1069248,0.1410868,0.001808524,0.02124435,3.295685,1,1
19.48067,-0.1080579,0.1438252,0.0003317595,0.01874727,3.361328,1,1
19.58685,-0.1325235,0.1363496,-0.0281285,0.02441877,3.388306,1,1
19.69603,-0.1285163,0.117708,-0.02699149,0.008719683,3.624451,1,1
19.80761,-0.1680446,0.1484931,-0.103417,-0.1843994,-1,0.3565106,0.2782618
19.91135,-0.2593402,0.07603943,-0.15925,0.01769668,3.665985,1,1
20.02102,-0.2653925,0.07414323,-0.1660838,0.007561505,3.72847,1,1
20.13991,-0.2446798,0.110873,-0.1484548,0.01722658,3.6978,1,1
20.26572,-0.1920504,0.1219338,-0.1008847,0.01657468,3.750381,1,1
20.38823,-0.1254045,0.1892894,-0.03506833,0.05082947,3.862228,1,1
20.50445,-0.1237833,0.1619176,-0.02471435,0.005233169,-1,0.7734845,0.8006699
20.62498,-0.1091273,0.1914044,-0.02180403,0.05369645,3.6203,1,1
20.7473,-0.08746588,0.1001013,-0.02509218,-0.03145254,3.764923,1,1
20.86716,-0.1156701,0.1033249,-0.03485578,-0.02759516,3.799988,1,1
20.98751,-0.1188125,0.104714,-0.03570783,-0.02597404,3.813675,1,1
21.10606,-0.111887,0.1120726,-0.02854806,-0.02612066,3.83989,1,1
21.2264,-0.1389673,-0.02523005,-0.1243196,-0.1616695,3.694962,0.9458737,0.8643771
21.3466,-0.134769,-0.02051389,-0.1185101,-0.1573082,3.717072,0.9199167,0.8707951
21.4691,-0.1371593,-0.01725292,-0.1166122,-0.1564913,3.614807,0.9477604,0.8860435
21.59527,-0.1391656,-0.01535261,-0.1146911,-0.1561185,3.34906,0.9806457,0.8859835
21.7168,-0.1501254,0.09377426,-0.07799256,-0.03606415,3.330551,1,1
21.83797,-0.1561787,0.09225518,-0.07343096,-0.04343832,3.408218,1,1
21.95501,-0.07578611,0.07802874,-0.005387723,-0.05191076,3.333328,1,1
22.0733,-0.1381139,0.115293,-0.06830221,-0.01165569,3.552002,1,1
22.19179,-0.1893166,0.1396517,-0.1197476,0.01780057,3.445511,1,1
22.31432,-0.1450031,0.1388361,-0.06800061,0.009765804,3.6474,1,1
22.43845,-0.1096175,0.1351092,-0.044635,0.007345557,3.561722,1,1
22.55867,-0.2623994,0.1099003,-0.1873286,-0.001759291,3.634293,1,1
22.66082,-0.2000357,0.1136381,-0.1224928,-0.008305669,3.591354,1,1
22.78025,-0.1394966,0.1223156,-0.06579149,-0.01237309,3.670212,1,1
22.89986,-0.2085707,0.12574,-0.1349993,-0.0008020401,3.554077,1,1
23.01757,-0.14704,0.1423146,-0.07413268,-0.001538634,3.520081,1,1
23.13008,-0.1264963,0.1371833,-0.05450785,-0.008918881,3.531693,1,1
23.2468,0.223763,0.09194517,0.3220602,-0.1130114,3.572952,0.802644,0.8437399
23.36045,0.2829773,0.0759598,0.3654547,-0.1127906,3.596695,0.7513385,0.7087435
23.47705,0.07511723,0.07012266,0.1496861,-0.07268834,3.601334,1,1
23.59775,0.06107223,0.1946966,0.1345273,0.04687959,3.639984,1,1
23.7134,0.04224443,0.2196362,0.1245793,0.08298266,3.818985,1,1
23.82674,0.01609004,0.2274965,0.1144729,0.08683348,3.869598,1,1
23.94691,-0.03266054,0.07784152,0,0,-1,0.5920325,0.4587603
24.06017,-0.2457591,0.1593233,-0.07224011,-0.1134361,-1,0.6463758,0.547313
24.17394,-0.07819641,0.1934302,0.06717062,0.05112022,4.063721,0.8476439,0.8004379
24.27451,-0.163008,0.04471618,-0.07947922,-0.08243465,4.027863,0.709398,0.697948
24.39089,-0.09100389,0.06757432,-0.008915424,-0.07998347,3.935867,0.9152087,0.8151549
24.5043,0.03740859,-0.06052959,0.06566668,-0.2208781,3.734772,0.8933889,0.8083907
24.61857,-0.01252794,-0.06002283,0.02942693,-0.2156945,3.79155,0.9131635,0.7898618
24.73552,0.004604697,-0.01689625,0.07530451,-0.181445,3.836548,0.8233707,0.6743335
24.85075,-0.0678485,-0.01121962,-0.05044413,-0.2664784,3.794296,0.4307709,0.2841097
24.96104,-0.3568333,0.1855605,-0.04788804,0.1189923,-1,0.1,0.3363904
25.07397,-0.4243006,0.2310956,-0.5736624,-0.5932885,-1,0.1913458,0.1680568
25.18596,-0.1030067,0.06103945,-0.09423101,-0.6463934,-1,0,0
25.29327,-0.002760231,-0.08593357,-0.6270531,-0.6603804,-1,0.1,0.2008984
25.40183,0,0,0,0,-1,0,0
25.51685,0,0,0,0,-1,1,1
25.62456,0,0,0,0,-1,1,1
25.73715,0,0,0,0,-1,1,1
25.85044,0,0,0,0,-1,1,1
25.96427,0,0,0,0,-1,1,1
26.06645,0,0,0,0,-1,1,1
26.17487,0,0,0,0,-1,1,1
26.28434,0,0,0,0,-1,1,1
26.39585,0,0,0,0,-1,1,1
26.51254,0,0,0,0,-1,1,1
26.62614,0,0,0,0,-1,1,1
26.73802,0,0,0,0,-1,1,1
26.8568,0,0,0,0,-1,1,1
26.97022,0,0,0,0,-1,1,1
27.07251,0,0,0,0,-1,1,1
27.18225,0,0,0,0,-1,1,1
27.29655,0,0,0,0,-1,1,1
27.40626,0,0,0,0,-1,1,1
27.51413,0,0,0,0,-1,1,1
27.62298,0,0,0,0,-1,1,1
27.72941,0,0,0,0,-1,1,1
27.83348,0,0,0,0,-1,1,1
27.93892,0,0,0,0,-1,1,1
28.0441,0,0,0,0,-1,1,1
28.1488,0,0,0,0,-1,1,1
28.256,0,0,0,0,-1,1,1
28.36502,0,0,0,0,-1,1,1
28.47404,0,0,0,0,-1,1,1
28.57484,0,0,0,0,-1,1,1
28.67882,0,0,0,0,-1,1,1
28.78334,0,0,0,0,-1,1,1
28.88663,0,0,0,0,-1,1,1
28.99306,0,0,0,0,-1,1,1
29.09345,0,0,0,0,-1,1,1
29.20225,0,0,0,0,-1,1,1
29.30697,0,0,0,0,-1,1,1
29.41335,0,0,0,0,-1,1,1
29.51647,0,0,0,0,-1,1,1
29.62115,0,0,0,0,-1,1,1
29.73021,0,0,0,0,-1,1,1
29.83731,0,0,0,0,-1,1,1
29.94207,0,0,0,0,-1,1,1
30.05559,0,0,0,0,-1,1,1
30.15821,0,0,0,0,-1,1,1
30.26046,0,0,0,0,-1,1,1
30.36811,0,0,0,0,-1,1,1
30.47455,0,0,0,0,-1,1,1
30.57789,0,0,0,0,-1,1,1
30.68401,0,0,0,0,-1,1,1
30.78785,0,0,0,0,-1,1,1
30.89149,0,0,0,0,-1,1,1
30.9997,0,0,0,0,-1,1,1
31.10199,0,0,0,0,-1,1,1
31.20605,0,0,0,0,-1,1,1
31.31133,0,0,0,0,-1,1,1
31.41681,0,0,0,0,-1,1,1
31.52294,0,0,0,0,-1,1,1
31.62849,0,0,0,0,-1,1,1
31.7346,0,0,0,0,-1,1,1
31.838,0,0,0,0,-1,1,1
31.94772,0,0,0,0,-1,1,1
32.05557,0,0,0,0,-1,1,1
32.15987,0,0,0,0,-1,1,1
32.27161,0,0,0,0,-1,1,1
32.38158,0,0,0,0,-1,1,1
32.48716,0,0,0,0,-1,1,1
32.60062,0,0,0,0,-1,1,1
32.71103,0,0,0,0,-1,1,1
32.82087,0,0,0,0,-1,1,1
32.92514,0,0,0,0,-1,1,1
33.03482,0,0,0,0,-1,1,1
33.14165,0,0,0,0,-1,1,1
33.24933,0,0,0,0,-1,1,1
33.35641,0,0,0,0,-1,1,1
33.46712,0,0,0,0,-1,1,1
33.57698,0,0,0,0,-1,1,1
33.6834,0,0,0,0,-1,1,1
33.79444,0,0,0,0,-1,1,1
33.90297,0,0,0,0,-1,1,1
34.01148,0,0,0,0,-1,1,1
34.12416,0,0,0,0,-1,1,1
34.23616,0,0,0,0,-1,
