ÉtÉåÅ[ÉÄêî,ç∂ìµçEåa,âEìµçEåa,ç∂ñ⁄ÇÃäJÇ´ãÔçá,âEñ⁄ÇÃäJÇ´ãÔçá,èuÇ´ÇµÇΩÇ©î€Ç©
58296,-1,-1,1,1,non
58297,-1,-1,1,1,non
58298,-1,-1,1,1,non
58299,-1,-1,1,1,non
58300,-1,-1,1,1,non
58301,-1,-1,1,1,non
58302,-1,-1,1,1,non
58303,-1,-1,1,1,non
58304,-1,-1,1,1,non
58305,-1,-1,1,1,non
58306,-1,-1,1,1,non
58307,-1,-1,1,1,non
58308,-1,-1,1,1,non
58309,-1,-1,1,1,non
58310,-1,-1,1,1,non
58311,-1,-1,1,1,non
58312,-1,-1,1,1,non
58313,-1,-1,1,1,non
58314,-1,-1,1,1,non
58315,-1,-1,1,1,non
58316,-1,-1,1,1,non
58317,-1,-1,1,1,non
58318,-1,-1,1,1,non
58319,-1,-1,1,1,non
58320,-1,-1,1,1,non
58321,-1,-1,1,1,non
58322,-1,-1,1,1,non
58323,-1,-1,1,1,non
58324,-1,-1,1,1,non
58325,-1,-1,1,1,non
58326,-1,-1,1,1,non
58327,-1,-1,1,1,non
58328,-1,-1,1,1,non
58329,-1,-1,1,1,non
58330,-1,-1,1,1,non
58331,-1,-1,1,1,non
58332,-1,-1,1,1,non
58333,-1,-1,1,1,non
58334,-1,-1,1,1,non
58335,-1,-1,1,1,non
58336,-1,-1,1,1,non
58337,-1,-1,1,1,non
58338,-1,-1,1,1,non
58339,-1,-1,1,1,non
58340,-1,-1,1,1,non
58341,-1,-1,1,1,non
58342,-1,-1,1,1,non
58343,-1,-1,1,1,non
58344,-1,-1,1,1,non
58345,-1,-1,1,1,non
58346,-1,-1,1,1,non
58347,-1,-1,1,1,non
58348,-1,-1,1,1,non
58349,-1,-1,1,1,non
58350,-1,-1,1,1,non
58351,-1,-1,1,1,non
58352,-1,-1,1,1,non
58353,-1,-1,1,1,non
58354,-1,-1,1,1,non
58355,-1,-1,1,1,non
58356,-1,-1,1,1,non
58357,-1,-1,1,1,non
58358,-1,-1,1,1,non
58359,-1,-1,1,1,non
58360,-1,-1,1,1,non
58361,-1,-1,1,1,non
58362,-1,-1,1,1,non
58363,-1,-1,1,1,non
58364,-1,-1,1,1,non
58365,-1,-1,1,1,non
58366,-1,-1,1,1,non
58367,-1,-1,1,1,non
58368,-1,-1,1,1,non
58369,-1,-1,1,1,non
58370,-1,-1,1,1,non
58371,-1,-1,1,1,non
58372,-1,-1,1,1,non
58373,-1,-1,1,1,non
58374,-1,-1,1,1,non
58375,-1,-1,1,1,non
58376,-1,-1,1,1,non
58377,-1,-1,1,1,non
58378,-1,-1,1,1,non
58379,-1,-1,1,1,non
58380,-1,-1,1,1,non
58381,-1,-1,1,1,non
58382,-1,-1,1,1,non
58383,-1,-1,1,1,non
58384,-1,-1,1,1,non
58385,-1,-1,1,1,non
58386,-1,-1,1,1,non
58387,-1,-1,1,1,non
58388,-1,-1,1,1,non
58389,-1,-1,1,1,non
58390,-1,-1,1,1,non
58391,-1,-1,1,1,non
58392,-1,-1,1,1,non
58393,-1,-1,1,1,non
58394,-1,-1,1,1,non
58395,-1,-1,1,1,non
58396,-1,-1,1,1,non
58397,-1,-1,1,1,non
58398,-1,-1,1,1,non
58399,-1,-1,1,1,non
58400,-1,-1,1,1,non
58401,-1,-1,1,1,non
58402,-1,-1,1,1,non
58403,-1,-1,1,1,non
58404,-1,-1,1,1,non
58405,-1,-1,1,1,non
58406,-1,-1,1,1,non
58407,-1,-1,1,1,non
58408,-1,-1,1,1,non
58409,-1,-1,1,1,non
58410,-1,-1,1,1,non
58411,-1,-1,1,1,non
58412,-1,-1,1,1,non
58413,-1,-1,1,1,non
58414,-1,-1,1,1,non
58415,-1,-1,1,1,non
58416,-1,-1,1,1,non
58417,-1,-1,1,1,non
58418,-1,-1,1,1,non
58419,-1,-1,1,1,non
58420,-1,-1,1,1,non
58421,-1,-1,1,1,non
58422,-1,-1,1,1,non
58423,-1,-1,1,1,non
58424,-1,-1,1,1,non
58425,-1,-1,1,1,non
58426,-1,-1,1,1,non
58427,-1,-1,1,1,non
58428,-1,-1,1,1,non
58429,-1,-1,1,1,non
58430,-1,-1,1,1,non
58431,-1,-1,1,1,non
58432,-1,-1,1,1,non
58433,-1,-1,1,1,non
58434,-1,-1,1,1,non
58435,-1,-1,1,1,non
58436,-1,-1,1,1,non
58437,-1,-1,1,1,non
58438,-1,-1,1,1,non
58439,-1,-1,1,1,non
58440,-1,-1,1,1,non
58441,-1,-1,1,1,non
58442,-1,-1,1,1,non
58443,-1,-1,1,1,non
58444,-1,-1,1,1,non
58445,-1,-1,1,1,non
58446,-1,-1,1,1,non
58447,-1,-1,1,1,non
58448,-1,-1,1,1,non
58449,-1,-1,1,1,non
58450,-1,-1,1,1,non
58451,-1,-1,1,1,non
58452,-1,-1,1,1,non
58453,-1,-1,1,1,non
58454,-1,-1,1,1,non
58455,-1,-1,1,1,non
58456,-1,-1,1,1,non
58457,-1,-1,1,1,non
58458,-1,-1,1,1,non
58459,-1,-1,1,1,non
58460,-1,-1,1,1,non
58461,-1,-1,1,1,non
58462,-1,-1,1,1,non
58463,-1,-1,1,1,non
58464,-1,-1,1,1,non
58465,-1,-1,1,1,non
58466,-1,-1,1,1,non
58467,-1,-1,1,1,non
58468,-1,-1,1,1,non
58469,-1,-1,1,1,non
58470,-1,-1,1,1,non
58471,-1,-1,1,1,non
58472,-1,-1,1,1,non
58473,-1,-1,1,1,non
58474,-1,-1,1,1,non
58475,-1,-1,1,1,non
58476,-1,-1,1,1,non
58477,-1,-1,1,1,non
58478,-1,-1,1,1,non
58479,-1,-1,1,1,non
58480,-1,-1,1,1,non
58481,-1,-1,1,1,non
58482,-1,-1,1,1,non
58483,-1,-1,1,1,non
58484,-1,-1,1,1,non
58485,-1,-1,1,1,non
58486,-1,-1,1,1,non
58487,-1,-1,1,1,non
58488,-1,-1,1,1,non
58489,-1,-1,1,1,non
58490,-1,-1,1,1,non
58491,-1,-1,1,1,non
58492,-1,-1,1,1,non
58493,-1,-1,1,1,non
58494,-1,-1,1,1,non
58495,-1,-1,1,1,non
58496,-1,-1,1,1,non
58497,-1,-1,1,1,non
58498,-1,-1,1,1,non
58499,-1,-1,1,1,non
58500,-1,-1,1,1,non
58501,-1,-1,1,1,non
