Blink,time,,ŠÔ,u–Ú‰ñ”
Blinked,0,,0,4
Blinked,2.60729,,10,1
Blinked,2.814462,,20,4
Blinked,4.967245,,30,4
Blinked,6.363691,,40,4
Blinked,14.24864,,50,2
Blinked,22.03147,,60,1
Blinked,22.09201,,70,2
Blinked,25.85049,,80,3
Blinked,26.36357,,90,1
Blinked,32.22804,,100,2
Blinked,32.59442,,110,2
Blinked,33.87783,,120,1
Blinked,34.53017,,130,2
Blinked,42.31366,,140,2
Blinked,46.06624,,150,1
Blinked,49.68972,,160,1
Blinked,49.97894,,170,0
Blinked,57.81713,,180,1
Blinked,58.28399,,190,2
Blinked,62.42411,,200,0
Blinked,76.24198,,210,1
Blinked,76.41723,,220,2
Blinked,85.04014,,230,0
Blinked,85.62163,,240,3
Blinked,86.30083,,250,1
Blinked,95.82272,,260,0
Blinked,102.5041,,270,9
Blinked,102.7554,,280,1
Blinked,113.6194,,290,0
Blinked,118.5941,,300,2
Blinked,126.5082,,,
Blinked,130.4273,,,
Blinked,133.926,,,
Blinked,148.2768,,,
Blinked,149.6457,,,
Blinked,152.8295,,,
Blinked,163.7144,,,
Blinked,182.2771,,,
Blinked,196.3942,,,
Blinked,198.0296,,,
Blinked,210.6364,,,
Blinked,218.7281,,,
Blinked,220.2842,,,
Blinked,249.2965,,,
Blinked,249.6207,,,
Blinked,251.4103,,,
Blinked,270.494,,,
Blinked,271.415,,,
Blinked,273.8091,,,
Blinked,274.1432,,,
Blinked,274.6915,,,
Blinked,275.7959,,,
Blinked,276.2005,,,
Blinked,277.1489,,,
Blinked,278.4551,,,
Blinked,283.1078,,,
Blinked,301.8377,,,
Blinked,302.4848,,,
