time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
0.497105,0,0,0,0,1,1,0,0,0
1.006403,0,0,0,0,1,1,0,0,0
1.770729,0,0,0,0,1,1,0,0,0
2.282569,0,0,0,0,1,1,0,0,0
2.784425,0,0,0,0,1,1,0,0,0
3.295218,0,0,0,0,1,1,0,0,0
3.797621,-0.1305943,0.3158945,-0.009654403,0.3440869,0,0,0,0,0
4.306629,-0.2514476,0.2010718,-0.1361401,0.2681604,1,1,0,0,0
4.813824,-0.2700312,0.2528067,-0.1557908,0.2105612,1,1,0,0,0
5.328195,-0.2715189,0.07469267,-0.1663483,0.2598779,1,1,0,0,0
5.830513,-0.1810005,-0.1881627,-0.07998884,-0.03289783,1,1,0,0,0
6.342398,-0.1763396,0.119454,-0.06955099,0.142772,1,1,0,0,0
6.855331,-0.2946214,0.2116878,-0.1769047,0.2279875,1,1,0,0,0
7.355354,-0.2244616,0.2762811,-0.109402,0.2643288,1,1,0,0,0
7.86413,-0.1740835,0.2823519,-0.05554259,0.2629857,1,1,0,0,0
8.366419,0,0,0.8430779,0.0670523,0,0,0,0,0
8.885712,-0.1873726,0.3671582,-0.05193061,0.3607088,0.858857,0.9944552,0,0,0
9.395417,-0.03002959,0.4083955,0.0919199,0.380313,1,1,0,0,0
9.90519,0.1614815,0.4713125,0.2425663,0.4240521,1,1,0,0,0
10.41198,0.1279807,0.4659106,0.191628,0.4271886,1,1,0,0,0
10.9235,0.1056662,0.4640048,0.1811107,0.4233475,1,1,0,0,0
11.42585,0.08681715,0.4664654,0.1820241,0.4233456,1,1,0,0,0
11.93507,-0.21194,0.2593204,-0.08791429,0.2390506,1,1,0,0,0
12.45133,-0.2194943,0.2911577,-0.08840883,0.2686974,1,1,0,0,0
12.95255,0.1402668,0.1157849,0.1676296,0.08422667,1,1,0,0,0
13.45991,0.2287351,0.1199388,0.178033,0.06761354,1,1,0,0,0
13.96352,0.2412108,0.1282662,0.191174,0.07408434,0.9397083,0.9789029,0,0,0
14.47608,0.2696265,0.1674926,0.22743,0.1001699,0.9288623,0.9841557,0,0,0
14.97939,-0.1411082,0.3346557,-0.07710344,0.2922617,1,1,0,0,0
15.49077,-0.2219396,0.3331081,-0.147343,0.2922177,1,1,0,0,0
15.99916,-0.5553873,0.4548146,-0.5642662,0.4144922,1,1,0,0,0
16.50726,-0.570323,0.46049,-0.5921146,0.4146551,1,1,0,0,0
17.02042,-0.5629328,0.4582578,-0.565581,0.4066939,1,1,0,0,0
17.52084,-0.1505058,0.2889045,-0.1023047,0.2423779,1,1,0,0,0
18.02465,-0.2700641,0.2363903,-0.1966084,0.2063124,1,1,0,0,0
18.53781,-0.4021183,0.06812239,-0.5154405,0.04852462,0.8644947,0.8314903,0,0,0
19.05665,-0.4007137,0.05882156,-0.5326163,0.03410548,0.8374765,0.7520246,0,0,0
19.5669,-0.3987639,0.09412646,-0.525036,0.06875181,0.8572605,0.817689,0,0,0
20.07847,-0.2784775,0.2592578,-0.3413356,0.2233496,1,1,0,0,0
20.58625,-0.5829598,-0.1890483,-0.2257148,0.02186781,0.1503389,0.2273968,0,0,0
21.09159,-0.1707259,0.3554829,-0.08270758,0.3183738,0.8156962,0.9941027,0,0,0
21.60741,-0.1731871,0.3520669,-0.0797832,0.309166,1,1,0,0,0
22.12498,0.4975389,0.1559429,0.7580528,0.1356932,0.1803893,0.1021199,0,0,0
22.63958,-0.1992521,0.3380266,-0.08733106,0.3001216,1,1,0,0,0
23.14712,-0.2006244,0.3392527,-0.08664703,0.2936105,1,1,0,0,0
23.66505,-0.1543143,0.3388481,-0.03170496,0.290835,1,1,0,0,0
24.16738,-0.1612247,0.3340903,-0.0296343,0.2861252,1,1,0,0,0
24.68414,-0.1635045,0.3343173,-0.02251172,0.2926461,1,1,0,0,0
25.19456,-0.1578058,0.3316272,-0.001069486,0.2808855,1,1,0,0,0
25.70465,-0.1835703,0.3440571,-0.02459991,0.2935457,1,1,0,0,0
26.21324,-0.190757,0.3457246,-0.01970828,0.2959433,1,1,0,0,0
26.72652,-0.1889542,0.3518484,-0.00547713,0.3059688,1,1,0,0,0
time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
0.4869343,-0.09362078,-0.0805316,-0.1790333,-0.09759009,1,1,0,0,0
0.9870182,-0.2061012,0.02742857,-0.3035644,0.01462966,1,1,0,0,0
1.491081,-0.2195224,-0.08621967,-0.3280479,-0.1004637,1,1,0,0,0
2.008345,-0.222559,-0.05398822,-0.3269202,-0.06625199,1,1,0,0,0
2.510763,-0.2253878,-0.04343951,-0.3260435,-0.06036043,1,1,0,0,0
3.011925,-0.2257254,-0.04597437,-0.319665,-0.05835557,1,1,0,0,0
3.5318,-0.2230344,-0.04887402,-0.3207327,-0.06432199,1,1,0,0,0
4.048195,-0.2143592,-0.04807401,-0.3062305,-0.06026769,1,1,0,0,0
4.559125,-0.0526399,0.01412308,-0.1325555,-0.01220632,1,1,0,0,0
5.076059,-0.2190047,0.02405095,-0.3020624,0.004198015,1,1,0,0,0
5.594084,-0.106478,-0.01231623,-0.2009424,-0.02131402,1,1,0,0,0
6.109063,-0.2259718,-0.1737058,-0.3270764,-0.2029698,1,1,0,0,0
6.613081,-0.2202535,-0.01198947,-0.3120185,-0.04137504,1,1,0,0,0
7.123215,-0.4062151,-0.04155636,-0.0304time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
0.4928941,-0.08432573,0.1216205,-0.159682,0.08149111,1,1,0,0,0
0.9996203,-0.04273295,0.06299895,-0.1362044,0.0239504,1,1,0,0,0
1.518639,-0.05164874,0.08875275,-0.14177,0.04663527,1,1,0,0,0
2.037934,-0.05144167,0.0980345,-0.1353886,0.05013061,1,1,0,0,0
2.555031,-0.06417114,0.1038707,-0.1500182,0.05506897,1,1,0,0,0
3.066697,-0.06925362,0.107017,-0.1528757,0.05933219,1,1,0,0,0
3.569609,-0.06495452,0.1090251,-0.1470124,0.06063926,1,1,0,0,0
4.085091,-0.06185609,0.1099959,-0.146082,0.06039613,1,1,0,0,0
4.605351,-0.07220107,0.1089812,-0.1565064,0.06065774,1,1,0,0,0
5.112442,0.08775592,0.1336861,0.01415908,0.08714175,1,1,0,0,0
5.623703,-0.1278684,0.08705211,-0.2180162,0.04861587,1,1,0,0,0
6.128526,-0.3986629,-0.562493,-0.1110011,0.1510705,1,1,0,0,0
6.643453,-0.08770537,-0.02593327,-0.1640216,-0.07718313,1,1,0,0,0
7.15441,-0.3995988,-0.6046921,0.2683151,-0.3195807,0.4100767,0,0,0,0
7.673434,0.1132363,0.07643628,0.01964664,0.0318442,1,1,0,0,0
8.193182,0.236819,0.06649512,0.1328329,0.009135842,1,1,0,0,0
8.713815,-0.05515784,0.09964049,-0.1319416,0.0586403,1,1,0,0,0
9.231819,-0.04453117,0.1577037,-0.06670362,0.1299468,1,1,0,0,0
9.732902,0.109682,0.4419804,-0.1397998,0.5819286,1,1,0,0,0
10.24637,0.1175081,0.5757561,-0.147561,0.5725624,1,1,0,0,0
10.75325,-0.3776401,-0.6020339,-0.008004606,-0.3908962,0.5553536,0.01362287,0,0,0
11.25655,0.05431688,-0.1720544,-0.0278728,-0.2205637,1,1,0,0,0
11.76298,0.01022923,-0.06950724,-0.04775971,-0.1195533,1,1,0,0,0
12.28411,0.2264577,0.04664552,0.119158,-0.007656693,1,1,0,0,0
12.80248,0.02435088,-0.07118022,-0.0452022,-0.1297548,1,1,0,0,0
13.31105,-0.2484679,-0.6125058,-0.03098786,-0.3297372,0.8588454,0.3145998,0,0,0
13.81645,0.002577186,-0.0785886,-0.07941622,-0.1308848,1,1,0,0,0
14.33191,-0.002517343,0.01350641,-0.09184617,-0.03571105,1,1,0,0,0
14.85368,-0.1586388,-0.2070978,-0.2702643,-0.2626736,1,1,0,0,0
15.35548,0.1983848,time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
0.4933933,0,0,0,0,1,1,0,0,0
0.9952615,0,0,0,0,1,1,0,0,0
1.791191,0,0,0,0,1,1,0,0,0
2.295534,0,0,0,0,1,1,0,0,0
2.797299,0,0,0,0,1,1,0,0,0
3.316544,0,0,0,0,1,1,0,0,0
3.830685,0,0,0,0,1,1,0,0,0
4.340295,0,0,0,0,1,1,0,0,0
4.848397,-0.1439545,-0.3232924,-0.02777982,-0.2139049,0,0,0,0,0
5.36585,-0.1510696,-0.5018333,-0.2859663,-0.312537,1,1,0,0,0
5.877709,-0.1586789,-0.3017294,-0.2761331,-0.2303839,1,1,0,0,0
6.383272,-0.1023821,-0.1731553,-0.2266979,-0.06776416,1,1,0,0,0
6.895719,-0.1114073,-0.1905508,-0.2157959,-0.08076108,1,1,0,0,0
7.405227,-0.1292307,-0.1553429,-0.2333344,-0.04306471,1,1,0,0,0
7.915103,-0.1289734,-0.15218,-0.2400218,-0.05006135,1,1,0,0,0
8.423939,-0.1310951,-0.1504819,-0.2447619,-0.04846776,1,1,0,0,0
8.935905,0,0,0,0,0,0.1404408,0,0,0
9.445951,-0.09795034,-0.6199532,0,0,0,0.04571217,0,0,0
9.964114,-0.1756094,-0.13515,-0.2360557,-0.02852225,1,1,0,0,0
10.46545,0.03782535,0.6637172,-0.2213407,0.8280122,0,0.04641091,0,0,0
10.96781,0,0,-0.2306448,0.824264,0,0,0,0,0
11.4685,-0.1580901,-0.1402385,-0.241423,-0.04844868,1,1,0,0,0
11.98462,0.05883145,0.6422777,-0.2606524,0.8116623,0,0,0,0,0
12.50219,-0.1979221,-0.2098916,-0.2477452,-0.09065449,0.8505489,0.9825787,0,0,0
13.01067,-0.1546757,-0.1160855,-0.2337453,-0.07979894,1,1,0,0,0
13.51674,0,0,-0.116034,0.7845396,0,0.02430551,0,0,0
14.0321,0,0,-0.03427672,0.4381652,0,0.1452261,0,0,0
14.54431,-0.08525968,-0.1123693,-0.1639865,-0.03523493,1,1,0,0,0
15.04673,0,0,0,0,0.01082868,0.4199433,0,0,0
15.55443,0,0,0,0,1,1,0,0,0
16.06644,0,0,0,0,1,1,0,0,0
16.57948,0,0,0,0,1,1,0,0,0
17.08586,0,0,0,0,1,1,0,0,0
17.59223,0,0,0,0,1,1,0,0,0
18.09512,0,0,0,0,1,1,0,0,0
18.60688,0,0,0,0,1,1,0,0,0
19.11369,0,0,0,0,1,1,0,0,0
19.62037,0,0,0,0,1,1,0,0,0
20.12829,0,0,0,0,1,1,0,0,0
20.62999,0,0,0,0,1,1,0,0,0
21.1452,0,0,0,0,1,1,0,0,0
21.64796,0,0,0,0,1,1,0,0,0
22.15003,0,0,0,0,1,1,0,0,0
22.65648,0,0,0,0,1,1,0,0,0
23.16381,0,0,0,0,1,1,0,0,0
23.66938,0,0,0,0,1,1,0,0,0
24.1729,0,0,0,0,1,1,0,0,0
24.69509,0,0,0,0,1,1,0,0,0
25.21436,0,0,0,0,1,1,0,0,0
25.72358,0,0,0,0,1,1,0,0,0
26.22445,0,0,0,0,1,1,0,0,0
26.7375,0,0,0,0,1,1,0,0,0
27.25316,0,0,0,0,1,1,0,0,0
27.76772,0,0,0,0,1,1,0,0,0
28.26812,0,0,0,0,1,1,0,0,0
28.77155,0,0,0,0,1,1,0,0,0
29.28495,0,0,0,0,1,1,0,0,0
29.79488,0,0,0,0,1,1,0,0,0
30.30005,0,0,0,0,1,1,0,0,0
30.8032,0,0,0,0,1,1,0,0,0
31.31427,0,0,0,0,1,1,0,0,0
31.82162,0,0,0,0,1,1,0,0,0
32.32281,0,0,0,0,1,1,0,0,0
32.82938,0,0,0,0,1,1,0,0,0
33.33349,0,0,0,0,1,1,0,0,0
33.8534,0,0,0,0,1,1,0,0,0
34.37148,0,0,0,0,1,1,0,0,0
34.87228,0,0,0,0,1,1,0,0,0
35.38692,0,0,0,0,1,1,0,0,0
35.89309,0,0,0,0,1,1,0,0,0
36.39581,0,0,0,0,1,1,0,0,0
36.90405,0,0,0,0,1,1,0,0,0
37.41894,0,0,0,0,1,1,0,0,0
37.93205,0,0,0,0,1,1,0,0,0
38.43525,0,0,0,0,1,1,0,0,0
38.94448,0,0,0,0,1,1,0,0,0
39.44758,0,0,0,0,1,1,0,0,0
39.96494,0,0,0,0,1,1,0,0,0
40.46786,0,0,0,0,1,1,0,0,0
40.99049,0,0,0,0,1,1,0,0,0
41.49778,0,0,0
